"x","y","Epi-mesenchymal cells","Vascular endothelial cells","Immature myocardial cells","Endocardial cells","Erythrocytes","Cardiomyocytes","Mural cells","TMSB4X high cells","Fibroblast cells","Epi-epithelial cells","Valve cells","Macrophages"
15530,7089,0.0484247993557102,0.174616583516453,0.275493891847249,0.0699819015107043,0.012768167752731,0.149268955321302,0.0428735643285825,0.0189079396738557,0.0544395020027945,0.0383522137484759,0.0750644395102076,0.0398080414319345
16639,7569,0.0558382829961638,0.0762255138444538,0.177387737509619,0.13528115916169,0.0300408776776422,0.10296542952765,0.053338503864847,0.0602092756382679,0.0505436157453263,0.103072604951889,0.0752966652831906,0.0798003337992602
10820,7581,0.0381698632100862,0.256244302242002,0.280419577215941,0.0832089911343761,0.0064355896328631,0.105251433019767,0.0393089109125594,0.0262208721798777,0.0312137938619479,0.0249596711350664,0.0893133538340605,0.0192536416214527
16082,6124,0.0472085576288544,0.11993113600371,0.117526333872588,0.0543867335085512,0.0127356394917504,0.100537651114848,0.0386661148159623,0.0488319328703425,0.0515388962341159,0.314738958373146,0.0708177336982802,0.0230803123878501
9580,11200,0.0511739726387387,0.147615042544554,0.313154883447942,0.101364134854457,0.0468916625737863,0.0620807103460162,0.0174967295662439,0.0209384299023379,0.0352099837204152,0.0302138295671528,0.123329502676071,0.050531118162285
11806,15535,0.077809160644887,0.0770078247182591,0.153384235151735,0.0941282276360349,0.0299607752048525,0.131500051153038,0.036203702604187,0.0505266658088008,0.0633120155600843,0.0868471942429701,0.174654542758361,0.0246656045167909
11387,13848,0.0343122479167625,0.009591201520312,0.00539888006390374,0.0445893550432256,0.0166105928742236,0.0113472855849359,0.0266169338738416,0.0549708026126591,0.0644363505927072,0.0389247092789187,0.677378402380894,0.0158232382576162
15253,7090,0.067939963048978,0.187367282033853,0.240758511880582,0.0617967211854903,0.0298581954684061,0.195845474014606,0.0254915706540683,0.0150347335872102,0.0325817294008307,0.0132098548756763,0.100534665382528,0.029581298467771
10701,17466,0.0641762641503189,0.059496868886399,0.19742085304012,0.112292274351387,0.0151807218167371,0.150413233092401,0.0617203774475322,0.0174304599430608,0.0692936593223052,0.0302723595201968,0.215393356893277,0.00690957153626584
13195,17461,0.0599140746859534,0.178484165615697,0.164223902162919,0.0580005965377577,0.01752776222679,0.215322606515513,0.0324196518249667,0.0216103048920223,0.0460838980383675,0.043438499281059,0.12908980152067,0.033884736698285
11386,13366,0.0443911347602463,0.0831060150272702,0.0284658741898222,0.0487474551541293,0.0029011738717954,0.0229885180350877,0.0367312167912525,0.057613714036562,0.067163048819066,0.0914043386783103,0.494990620481479,0.0214968901549788
14155,12396,0.0433926552513795,0.160103191092176,0.222417780642292,0.086769593187396,0.01787883840543,0.17398148439306,0.0336944292831576,0.0294238002167781,0.039597497656812,0.0439648280438817,0.135432034025741,0.013343867801896
15248,4679,0.0543285365402577,0.114419281065574,0.154818517500949,0.106189063312734,0.00938022966961547,0.167708972661221,0.0612087423628229,0.0146552794146885,0.114073449525138,0.135906801436475,0.0610867230960653,0.00622440341445911
11921,4203,0.0502235950048675,0.158052051513675,0.277208822885333,0.104543149323362,0.0368015264787429,0.108557135263003,0.0266792578228315,0.0247378577587246,0.043424967943677,0.0255423780841236,0.128941981093953,0.0152872768277067
16104,16732,0.0641899772891456,0.0883162969914273,0.11249533347797,0.0427226206183408,0.0609140673164739,0.0470520972215656,0.0240309593611218,0.0643365243608793,0.0436322938022246,0.334972213361797,0.087691964878205,0.0296456513208491
14019,13602,0.0676076953556245,0.0771029662494914,0.216775463202915,0.0919511756914694,0.0207518540591165,0.198541228865987,0.0269941981419042,0.0383106880648445,0.0334909147944399,0.0756610787569149,0.13483935826008,0.0179733785572128
14293,12155,0.0559230802226962,0.0957747804277231,0.0283547116886015,0.125435020766564,0.028357160051449,0.0337881230567386,0.0536250078760032,0.0791483425226572,0.0675845798360438,0.0235723268768954,0.384995351195948,0.0234415154786795
12624,9265,0.0417137597606291,0.167212422210985,0.230887113599257,0.124919785440215,0.0286645272016812,0.172794916277137,0.021384958364556,0.0188706866793704,0.0404726555540693,0.0151324922142995,0.101972546432205,0.0359741362655954
13048,13363,0.0481335470111311,0.157042884958995,0.215921986801735,0.114146512797525,0.0210843596498611,0.116880565458022,0.0321950925013772,0.0283095584209078,0.0510563727287417,0.048192572399103,0.135656826916877,0.0313797203557233
7774,8551,0.0539047512201995,0.118299042566308,0.27770487946549,0.0888821486808904,0.0610325914801489,0.0688669005819129,0.01758305006381,0.0282359788950407,0.0496564913314949,0.0645617488329788,0.120788596080005,0.0504838208017209
14717,16252,0.0418877366200886,0.11762235091703,0.221449626513567,0.0821234157398317,0.0138345770342638,0.15955397541744,0.0338267658538822,0.0303280670833449,0.0559604542935823,0.0588093802188327,0.161920901050932,0.0226827492572049
