"x","y","Mural cells","TMSB4X high cells","Fibroblast cells","Valve cells","Vascular endothelial cells","Cardiomyocytes","Epi-epithelial cells","Endocardial cells","Erythrocytes","Immature myocardial cells","Epi-mesenchymal cells","Macrophages"
15683,14563,0.0259432255639067,0.00398752984621375,0.0711732185556409,0.0169107795849389,0.0674375473891735,0.193448264994669,0.0442481486916411,0.273366706412192,0.115628157252277,0.0874337391755668,0.0447463907766174,0.0556762917571633
15404,13599,0.0185116870167586,0.0158528313907583,0.0832163747401093,0.0555734127824546,0.13246501984814,0.174145106529856,0.0702566315981818,0.16341756924507,0.0208252893324028,0.0740793952272745,0.132897512297082,0.0587591699919123
8059,12891,0.0488205210009851,0.00583265145496402,0.0789835270718903,0.0326150775082883,0.0921452833678201,0.113749161197892,0.0475309958881708,0.335864310445517,0.00792328621663183,0.102587417597429,0.077846303466607,0.0561014647838045
8476,13131,0.0502233159970003,0.00326574934701454,0.0254554478344823,0.00524636507575511,0.132494071762532,0.158862341298201,0.00681615808275776,0.364589139243675,0.0356146566152545,0.122696322145687,0.0483048451592129,0.0464315874384282
8187,7345,0.102010711662105,0.0101670891606351,0.0485746241289854,0.0234255574954982,0.109619475811043,0.127786038389231,0.0181037413186717,0.345604970709713,0.0572879705593654,0.0871488883573372,0.0343425611681773,0.0359283712392375
14137,3717,0.00827187327341583,0.00511569817673466,0.0284301048862959,0.00210773919620628,0.0081216741149224,0.130143778833776,0.507906370655633,0.119270778528519,0.0457912783649077,0.0823445580395522,0.0539625900066947,0.00853355592334143
12904,10229,0.0325743171823196,0.00462555790859827,0.0466588219432765,0.0159572495592185,0.0353826122166965,0.191007312907412,0.00943328629235271,0.302974230629326,0.0857440637392899,0.125593707799918,0.122639410666124,0.0274094291554683
18313,12870,0.0128539203539795,0.0233513096344991,0.0822799655827669,0.0453302114008424,0.00811474012520197,0.101475091312551,0.386110311400134,0.130356144252246,0.025010713559936,0.0897607086750962,0.0673406310000705,0.0280162527026768
11112,14813,0.00640933818133916,0.00457537785657496,0.0137210236591887,0.596404970250899,0.0597091932561573,0.040117929951115,0.00730244602943738,0.0418719614686118,0.0924472017082823,0.0113574378510647,0.00410367797382963,0.1219794418135
8748,10719,0.00865819935628015,0.00176505231592614,0.0331059900509348,0.00368573947547256,0.085178744781979,0.189099589437489,0.0166451163803495,0.452744438602615,0.0783811643631706,0.0807770520126746,0.0418013858779193,0.00815752734518971
15409,16010,0.0246519389524955,0.105498719447469,0.0877018765936256,0.0602694960786196,0.0798698730393756,0.185318307941387,0.0143195447458432,0.132409509045288,0.0784541432278655,0.0781094059848457,0.11954447394839,0.0338527109947954
15536,9982,0.0394293549759342,0.00819330105340157,0.0692714926469715,0.0107553868201315,0.164106243454416,0.17654327819994,0.0116168564379665,0.215082218836817,0.128272614939307,0.125985338349157,0.0207202675770099,0.0300236467089476
8339,14337,0.0492540237345586,0.00256362364773541,0.0435984238146445,0.0167318462099269,0.110201333476741,0.202299685182023,0.025488086854296,0.280351372039529,0.0785267453933755,0.124464714058308,0.0420595186987731,0.0244606268900892
11785,5409,0.0206251636700735,0.0234391240679237,0.0202021781451642,0.0143295930997028,0.154458853144717,0.213635965696898,0.0182634837021731,0.299943692760777,0.0253176517950697,0.0901240678146885,0.0757743116919552,0.0438859144108571
11787,6374,0.02474299753059,0.0228586731819629,0.0719467266658407,0.0162800900774047,0.0304197645685516,0.143521908618744,0.086479761635751,0.379852220295309,0.0638567735823533,0.0572468605697881,0.0724072124707533,0.0303870108029518
10144,16021,0.0151541470453533,0.0066714833248349,0.0160806031819512,0.00668406662940076,0.110630835014292,0.165846531971564,0.00633018119977199,0.2971480576496,0.0289454579606554,0.115224200692581,0.204708456793399,0.0265759785365964
12072,10230,0.0433785151075536,0.00356740990494406,0.0548103184318987,0.0129707665108041,0.113759474095411,0.194843162136643,0.0149755766708729,0.352408339038158,0.0492937089150225,0.0971294782685526,0.0463706335454957,0.0164926173746441
13319,9987,0.0358323279293616,0.0138835369774508,0.0411818271637036,0.0253212688807229,0.109507005073007,0.114557332418377,0.0130510742673001,0.313765066209995,0.103205278721081,0.115795691952178,0.0759471460285218,0.0379524443783007
13735,10227,0.0682946336447516,0.00104169256456795,0.0744135049083693,0.0223066310846473,0.143295759521162,0.210895717851388,0.0274837626252755,0.222084182983278,0.0460549461125234,0.094129683194566,0.0668934283777741,0.0231060571316975
15116,7813,0.0278380843409459,0.0102423287778721,0.0752688640648165,0.00761714294661592,0.0467171008107098,0.191476552425809,0.0107309388304868,0.441563894638625,0.0492380672676911,0.0755381520295244,0.0368497223536286,0.0269191515132754
12776,15774,0.022217710044534,0.00647530523578318,0.0644289136792608,0.0173894522062941,0.0335159071190203,0.285965115365873,0.0142909282692488,0.333451589146727,0.0359372357410108,0.0943737529515852,0.0699944222319383,0.0219596680087247
