"x","y","Immature myocardial cells","Cardiomyocytes","Fibroblast cells","TMSB4X high cells","Endocardial cells","Valve cells","Mural cells","Erythrocytes","Epi-mesenchymal cells","Vascular endothelial cells","Epi-epithelial cells","Macrophages"
11112,14813,0.0261594349396646,0.0305930562483359,0.0181148147102102,0.0356583249899041,0.0320535841920486,0.592601124366728,0.00648710964012083,0.0947057489985675,0.00312791111344278,0.00407648952266569,0.0611789950658373,0.0952434062124741
8748,10719,0.115953276455207,0.159374812610343,0.0418088731236508,0.00303402751182366,0.214558896539367,0.0492743098348445,0.0313978853815639,0.115970019878648,0.0180889536571313,0.0533005581209433,0.116667771597019,0.0805706152894581
15409,16010,0.10643188432106,0.164431594519717,0.0328221027194108,0.0232898987756999,0.193737703411411,0.0740065044300967,0.018134764831141,0.117031043159682,0.0427527047900724,0.0610315462132852,0.0607677136885707,0.105562539139854
15536,9982,0.128563246432483,0.18970458597234,0.0395925077453193,0.00643481890844989,0.155285512045821,0.0438325519389232,0.0582779939946343,0.147999218583942,0.0159923052840261,0.0542324473864442,0.0774626729231604,0.0826221387844559
8339,14337,0.159314699041937,0.122279677116999,0.0335598158397422,0.0127560633239468,0.099011420873585,0.0716324824534774,0.0634303865577524,0.069664268032829,0.0261215711509531,0.0660459791571299,0.160764633076543,0.115419003375106
11785,5409,0.112717971343073,0.160693772819613,0.029008697757257,0.013750846473021,0.146121418008157,0.0664937498650746,0.0678098372074101,0.0722480693637704,0.0185728066157829,0.087605477604288,0.0986725770926581,0.126304775849895
11787,6374,0.0828155452434487,0.181803011879519,0.0546210771691768,0.023445524244347,0.207157688495797,0.0536922771216036,0.0522767451755853,0.0545718914914316,0.0442359455132829,0.0337081880892483,0.129679596870433,0.0819925087061269
10144,16021,0.0808273778371816,0.129813527176402,0.0471785150333233,0.0087129929261615,0.227099112187869,0.0532424859868715,0.0469117995476914,0.100390354722601,0.0678071265505338,0.0654885201275795,0.0663516909123387,0.106176496991447
12072,10230,0.142118876847791,0.103503154639225,0.0388308912647865,0.0037079729706645,0.170665698838622,0.0979911651734179,0.0453584224062999,0.107215459867509,0.0220699844172046,0.0608261648576025,0.117680102244774,0.0900321064721043
13319,9987,0.152839404375897,0.157874535316125,0.0471316264803962,0.0201521395290974,0.12393913153049,0.0644173284240095,0.0571996539186908,0.0918266287480765,0.0352754984791947,0.0859345239393978,0.086006646244728,0.0774028830138974
13735,10227,0.182497935431166,0.0592541004806128,0.045512968266414,0.00168452819716175,0.110290204260881,0.122788756417677,0.0694051561909137,0.12050843058749,0.0264720258883539,0.0668244952824301,0.153722232358943,0.0410391666379574
15116,7813,0.0785974975800907,0.327987865997078,0.0393880052962919,0.00290612570053617,0.0977660881626457,0.0465587938783891,0.0299239551120264,0.0878772673980265,0.0289709062172295,0.0496495565915366,0.113923869131977,0.0964500689341723
12776,15774,0.127795578710054,0.157192138752296,0.0428979682825686,0.00981262548080472,0.234610171978102,0.113158899746127,0.0334421540869382,0.0656479655212017,0.0331240153749451,0.026825151880365,0.0900652993151174,0.0654280308714797
12219,14329,0.0143906646248762,0.0678954050144012,0.0204089404753582,0.0313569258855533,0.0424240061408304,0.461216026198058,0.00662698030247178,0.0672328911139317,0.0256846523018445,0.00401641282559249,0.181171688681107,0.077575406435975
17482,13354,0.0990459055063504,0.178676785276215,0.0326609952144921,0.0020380447588423,0.14509647781061,0.0370965669859792,0.0401338065533749,0.142967986788348,0.020576150751294,0.0204535167051661,0.223471245775963,0.057782517873365
12780,17703,0.00568648958116087,0.0215198828510813,0.00630760541891319,0.0159318720821662,0.0345745543778362,0.00721002393344359,0.000687527502394697,0.050111264978211,0.00646723965490599,0.00494274085406102,0.747419499072932,0.0991412996928939
12079,13606,0.0586483722095753,0.0634885294362891,0.0678127075002121,0.00396748473970584,0.187353624260907,0.180059293471978,0.0455673938326268,0.139726831597865,0.022642736833497,0.035745083789036,0.0672449396223963,0.127743002705911
12765,9988,0.125516657697988,0.191464549701631,0.0236926021188019,0.0104716140307798,0.187360263004351,0.104280527966257,0.0468133724035356,0.0902789748832592,0.02471458490141,0.0543771693358557,0.0675679496486024,0.0734617343075283
13884,15290,0.0695135125233281,0.19407853260411,0.0716261655168743,0.0059496856256968,0.126278790205708,0.106884391804394,0.0284514325200645,0.0941881063598566,0.0448020004107946,0.0440799929893281,0.115726609478927,0.098420779960918
9297,8307,0.100285951087438,0.238337784852343,0.0360013351514365,0.01421659967389,0.120785464585084,0.0937852009169618,0.0384719194567009,0.0344741745541494,0.0336997371277466,0.0785438500146698,0.106054565500434,0.105343417079146
17755,10942,0.195793306441802,0.170100180610061,0.0371816100435906,0.0068812799663263,0.107246427664812,0.0533800477969733,0.0350473099712821,0.102803545207666,0.0124974758537683,0.0584678472259829,0.111853256224702,0.108747712993034
14700,8055,0.227631399147218,0.0871905353367079,0.0461585583404772,0.00292205017474269,0.147130907065613,0.0817449590758682,0.0695639644706661,0.0883279639738995,0.0188225172080254,0.0596685118801682,0.0990862469689406,0.071752386357673
