"x","y","Cardiomyocytes","Fibroblast cells","TMSB4X high cells","Valve cells","Erythrocytes","Endocardial cells","Epi-epithelial cells","Epi-mesenchymal cells","Immature myocardial cells","Macrophages","Vascular endothelial cells","Mural cells"
12498,15293,0.965679705630889,7.45703345931018e-07,3.43292683094354e-21,0.0165950753717178,3.67012213457706e-38,0.00115133218515799,0.00138964547822026,3.70634571241456e-10,0.000253834404196411,0.014922339773344,4.97098227040925e-09,7.31611151184567e-06
11945,15776,0.918955508973483,4.11226125789018e-06,6.52459708838964e-18,0.0360571963802109,7.43601202889216e-38,0.0142649367022828,0.00501798835918004,1.20278334086904e-09,0.00466194962542077,0.020950205355099,1.13221858963159e-09,8.81000080639114e-05
13609,16737,0.838508541657583,0.0010473833262073,4.45631817217954e-14,0.0508665759362946,2.86137765993939e-16,0.0504885357357787,3.72864882107892e-05,1.12363868398599e-05,0.01551566448061,0.0237100632961239,0.0189117054512895,0.000903007241017446
11371,6133,0.826452266899561,0.0139331388236773,5.00320362676666e-07,0.0370131174532956,3.68668849885479e-16,0.0664243608477563,5.67240225474242e-05,5.59973575537445e-09,0.00307153858502218,0.0363330770453084,0.0167152310741183,3.93286143521188e-08
14702,9020,0.937434009320166,7.73191140222613e-06,3.80119867560876e-10,0.00600667801131032,9.67676951586224e-20,0.00987396223548701,1.84755876802209e-15,1.4256239780269e-12,0.00499264753710423,0.041684858031909,9.3880330221141e-09,1.03183040742679e-07
12225,17222,0.917209264271857,0.00891951323000868,1.34727302774076e-05,0.0358724342746668,4.46224663531956e-18,0.00784442003380774,0.0038181988809851,1.37784667371089e-11,0.00186391944560003,0.0242133813346047,1.19163632113197e-12,0.000245395783222296
11114,16260,0.962490319675262,1.71808972057645e-13,4.6755234577533e-15,4.16551259272222e-06,2.63058875055251e-49,0.013782082610314,3.08254988394424e-36,2.98929978000452e-19,0.0103847986553,0.0133386335463541,4.1691719226802e-16,1.58776292334073e-21
10963,9751,0.934634580576542,6.97637900374544e-30,2.85070134300996e-28,3.03448185279166e-28,4.00594822269657e-50,7.94568593155302e-15,1.15149958925852e-46,2.16415025684037e-38,0.0168122980725282,0.0485531213509219,1.16579218670668e-35,2.09066751507402e-30
10978,17465,0.831088581577826,2.21782850947341e-06,6.02240892572906e-13,0.0567306750091818,2.07274282540081e-29,0.087308993478319,0.011765876735266,2.64106732810256e-08,0.00839911244302911,0.00470443823963886,1.31610175222359e-08,6.51159362818514e-08
10694,14091,0.626496073159814,5.34345026223585e-05,4.09824212276674e-18,0.195460838981627,1.82197187127351e-42,0.0128304333274124,0.0254287623062574,0.00275089235392706,0.00354417608500901,0.0676819387175199,1.14012108458103e-24,0.0657534505658105
15260,10465,0.954638741439153,2.05623960694765e-48,1.70478667816026e-27,4.82981088093793e-51,7.65121901142705e-63,5.28251839446414e-10,1.11610676593922e-42,1.32066367847146e-60,0.00330380465289664,0.0420574533796985,3.1749062012779e-18,7.17845682412238e-60
9164,10960,0.939588498035909,1.58995961256298e-28,1.249339119667e-24,1.0499766375367e-24,3.24578145331322e-43,5.31287260468671e-16,2.60853004490567e-46,3.51739197408963e-43,0.0104771675416277,0.0499343344224632,5.43673804807351e-36,2.02263447339112e-28
11092,5170,0.943466321556132,2.42514769584348e-07,6.44339969966704e-17,0.000737841804623412,1.93184851322792e-35,2.97798304260857e-07,6.38261388934623e-23,7.66805242832872e-11,0.00385208114849204,0.0515737584972235,0.000369456600381404,3.39322481094277e-12
9024,10237,0.940089074778157,6.05953459559808e-33,3.08280783067108e-19,2.26525990695238e-38,2.99721191899087e-27,5.86776676545827e-09,1.47679117129542e-44,1.29321818382993e-44,0.0196735916243631,0.0402373277297127,7.49455830432128e-16,2.01939342698075e-45
15401,11670,0.93655064245169,0.00713134501443606,1.15560139332349e-10,0.000838541780989258,8.38170055755425e-07,0.0039083068990394,1.82117041768014e-08,1.43246998022256e-18,0.00119393343631819,0.0423313412974428,0.00804501600212722,1.66206373516757e-08
14139,4681,0.958158303339162,5.84938088679549e-19,8.58142978646486e-19,1.50932618802338e-18,1.98903195143029e-35,2.52429918274065e-11,5.52524956604653e-38,1.74419848839477e-27,0.00263105584944435,0.0392106407861507,1.49629985743679e-21,1.9756915104993e-18
8465,7827,0.909425714118492,6.56781845804785e-05,6.79083221580495e-18,0.0221673453377206,6.13351592145691e-41,1.2339044052643e-08,0.00159060880504897,2.44500739005662e-09,0.000535473623628832,0.0563619067426469,7.74612777480228e-14,0.00985325840375361
11521,11678,0.863234361735491,0.00131458484941251,4.11804349351529e-14,0.0555367175851163,5.07559565541585e-14,0.00199271417456956,0.00992336091988749,1.05937842533097e-08,0.0262333445753846,0.0389493262546765,4.56218250024607e-19,0.00281557931158593
12224,16740,0.936512387464974,0.00249459153437144,2.05677790113579e-13,0.018623477805452,2.87349214215888e-21,0.0201582111405848,0.0041138707585107,1.18715815415258e-11,0.00430066506269538,0.0132251069470754,0.000171225661076419,0.000400463613182464
15249,5161,0.93544973855996,1.25039507751151e-13,4.23924144719707e-20,2.14185667322796e-10,5.35287459877913e-47,1.22936507070065e-10,7.83954661284758e-21,8.09773650163133e-14,0.00314854357433439,0.0614014520329219,3.85249275983415e-09,2.61642962727713e-07
13877,11914,0.934612912598576,0.000185967247487113,1.46772195367788e-18,0.0177021165493422,3.10846717487059e-22,0.00779462547875077,0.000749026381862899,8.1490402848757e-11,0.00268470790978223,0.0342490498140428,0.00132945010097937,0.000692143837686148
12204,7096,0.864410247489654,5.94001602982163e-07,6.50899564530719e-10,0.0570653719518436,9.06034625100879e-45,0.0460454272496617,2.72655734181475e-05,7.19898479751223e-08,0.00239239805567515,0.030051867043177,6.75518500408511e-06,8.09215627720416e-10
12071,9748,0.962275021509657,4.22154920857111e-14,4.46450885233715e-17,4.28029411037961e-18,2.27922684319495e-25,3.67951742916892e-06,3.71511272828022e-16,7.79381819577426e-23,0.00129276283106078,0.0364285358521497,2.89651797938896e-10,8.85503419314725e-15
10276,12886,0.91727635774306,4.65779811760642e-09,4.59492853189901e-20,0.015847675716664,1.27230206907576e-49,0.00784982760826396,0.00159595817316366,6.10254930078871e-12,0.0247722326628775,0.0326579434320277,4.20016048059747e-14,4.52480517947984e-16
16510,12150,0.94939002138919,1.67072764719698e-09,1.03977379017644e-16,2.05664426096131e-06,9.25819018947051e-30,1.8384941782043e-05,2.22646421544335e-28,7.54300016136507e-22,0.000498936732914891,0.0484582138915728,0.00163238472950779,4.33984781197188e-14
13314,7576,0.943861820714442,2.85589979968996e-14,1.39673363534707e-20,5.64889104010961e-12,1.29305173661753e-28,9.76018986445605e-10,1.41751596425666e-31,9.55544949547724e-28,0.00317575006572019,0.0529624282376221,5.18979399577431e-13,5.15338430403948e-19
10125,6377,0.947157655022307,2.18136669899869e-23,3.8108435507355e-15,6.93583256839982e-27,1.42765420482101e-19,3.69980493045007e-13,3.96806002146264e-29,1.78323664937112e-31,0.00260192749735428,0.0502404174799653,2.85419286974356e-25,3.82159538782162e-27
12624,8783,0.947268117342166,0.000399283970943498,1.98878474438106e-12,1.16556920708416e-05,2.0521016410065e-13,0.000890496532888913,2.77132344569789e-21,8.20725111474018e-13,0.00825858829927189,0.0403409754137966,0.00282852495731612,2.35778853155183e-06
9028,12165,0.925572278983223,4.74820459703052e-15,3.40723414522626e-21,3.08000208540515e-11,1.64248592531213e-25,5.31005887170454e-14,3.54525451934579e-32,1.14608713332632e-30,0.0218604002330345,0.0525673207528499,7.7022067532712e-19,3.51245389463648e-14
17899,14076,0.975500320978962,1.0675679220317e-14,5.57385778190546e-18,1.1578500206825e-14,8.22357462981653e-36,1.12067089794481e-05,3.21851917278151e-15,1.22424729889796e-27,0.00280599814310506,0.0216824741537049,1.52235271510643e-11,5.93256954754751e-21
14569,11672,0.641431659270126,0.000230499010461313,4.97058523968571e-15,0.14386442036024,1.64982720096334e-27,0.124252822140645,0.02036793325184,2.8823817569275e-06,0.00655226508429635,0.0289407612985152,0.00253321117427562,0.0318235460278389
