"x","y","Endothelial cells","Fibroblasts","Neutrophils","Epithelial cells","Proliferation","Astrocytes","Neurons","Oligodendrocytes","Mesenchymal cells","Macrophages/Microglia cells"
5394,5997,0.389903317800008,0.0463747177547074,0.0285905086837513,0.00188484441886486,5.82928056747789e-05,0.0280329489752551,0.13834021421603,0.122263074927699,0.027825034886729,0.21672704553128
8700,8636,0.00263708289101757,0.134598979526922,0.167285891391506,0.00683815057906356,0.000524989838842476,0.0469929470143168,0.173262460952376,0.136571917761317,0.0458698360703645,0.285417743974275
8703,2882,0.112541652457537,0.162456104733948,0.0906805940569623,0.00318388682667462,0.000153923959901863,0.0281674119718776,0.0756517824816762,0.176540414551609,0.0892136087012508,0.261410620258562
8770,5639,0.245752365972174,0.0937816027603813,0.0287801631875137,0.000619151462020347,0.000100535721062977,0.0170192050992557,0.0430584382924839,0.0778294553653088,0.0688000791644996,0.4242590029753
5187,7796,0.0134203633705644,0.221947840921667,0.0754202965463796,0.0157413000430976,0.000833465699390626,0.04771115396713,0.0911966782308497,0.0827445911751219,0.144283407614705,0.306700902431094
10012,2523,0.00361888556623571,0.166285819519254,0.110384761781115,0.0142271041076846,0.00258189523594783,0.0389303961078811,0.189734742258492,0.145089069883242,0.0655889001184485,0.263558425421699
6911,3361,0.0157077050693443,0.163855307903771,0.0355117753077564,0.0110323378727678,0.000168231686538168,0.00836875921949161,0.0706177944587506,0.102546402650356,0.10411392711164,0.488077758719583
6911,3840,0.00364414492176575,0.160892113585391,0.0805291214113175,0.00911994047963678,0.000195161214747622,0.0208128794416488,0.0732482706151384,0.133897201613449,0.0815262897272357,0.436134876989669
8497,1803,0.00416904009720744,0.168845416803378,0.0651309140271602,0.0161424706714793,0.000567929661002291,0.0185910385638755,0.0437458541970459,0.105100080990285,0.188067273805338,0.389639981183228
3604,3599,0.322204751320508,0.0185737226896136,0.171632592096292,0.000426948527186838,3.43166501162159e-05,0.0297787350876124,0.169887377930804,0.0868693317335432,0.0120195477902708,0.188572676174053
4223,4918,0.000430612296073863,0.0699017645471877,0.198314977846703,0.0068821533532354,0.000125338898514588,0.0121394744154194,0.00389660802152828,0.143809157582319,0.388269034895774,0.176230878143244
3742,3119,0.0842769034939853,0.0495855959167963,0.037978741340668,0.00557636535782488,0.00203964078461597,0.0189681217138114,0.051129564142529,0.110906359847983,0.396787421897577,0.242751285504209
10215,9596,0.0017565591194264,0.17335889001698,0.157923107554414,0.00543458141436755,0.00040186378521209,0.0230331700735219,0.0769805626504636,0.212054551823231,0.0801752174603281,0.268881496102055
6082,8635,0.010000716935031,0.146687592672067,0.139542834731746,0.00447712279237132,0.00011969989484918,0.042216053779091,0.22411712367486,0.117756347872445,0.125550017303586,0.189532490343953
7048,5758,0.154145493674928,0.219285421712311,0.0719366699213944,0.00449170429703955,0.000150039529993492,0.0347551513624699,0.0823586592171218,0.141974697024426,0.0440976591698321,0.246804504090484
4223,4678,0.000568526752222029,0.0888744623985804,0.201445972122265,0.00319744128785064,7.19333941119497e-05,0.0640557210396322,0.246144462253913,0.16229682181999,0.0131469800957644,0.22019767883567
7668,5639,0.175365901726579,0.181640379531369,0.0755083013298085,0.000779131524076635,0.000217274427928081,0.0291250122150999,0.0406980500312765,0.155064368579188,0.0660739909154471,0.275527589719228
4361,6117,0.0266212464498466,0.0019304483064629,0.0375855060156288,0.010333837186456,0.000276440773294013,0.0207084862480835,0.196336554679339,0.0711777385609652,0.354879109839078,0.280150631940846
7875,5759,0.163344062926708,0.128623071438665,0.0739486024117036,0.00105745839727939,1.79089712936159e-05,0.0540680358399833,0.0583417178699163,0.121200596215379,0.0446554509775754,0.354743094951496
9871,8517,0.00526299193230036,0.0401001404401116,0.0622222262523492,0.0180344675614961,0.00516589661973011,0.0356521696880188,0.156275235723841,0.181800048846998,0.299396782695783,0.196090040239372
5048,8515,0.0129143167389605,0.242329909883117,0.125987528897116,0.00163230772903991,0.000298110623367189,0.0351566129149478,0.117411771287488,0.110411055261643,0.0944552478820011,0.25940313878232
8564,4560,0.10908369551902,0.155722051882352,0.0529477511024527,0.00656293169759195,0.00697967784245922,0.0126657910433902,0.0965401327644473,0.061695036461574,0.166890408873194,0.330912522813519
7391,8516,0.180163965241729,0.0417028808083479,0.0923570014729482,0.00108360493599048,6.02427323839283e-05,0.0277950783724432,0.0336314559332376,0.15724404511515,0.0870235795744421,0.378938145813327
