"x","y","Proliferation","Astrocytes","Neurons","Fibroblasts","Epithelial cells","Endothelial cells","Neutrophils"
4016,5757,2.98145749540688e-09,0.00146801658507154,0.415816968434762,0.0586806051825011,0.00362261905827541,0.332972378990557,0.187439408767375
8703,2163,0.00041532043984508,0.0759482739502733,0.259207004741229,0.0494466110929038,0.0394082187348077,0.212847834279273,0.362726736761669
4431,3120,5.09043760434122e-10,0.00302954887252768,0.506395391812702,0.00412713164697914,0.000911913743826732,0.435679463793349,0.049856549621571
5051,3240,4.25562798894342e-05,0.0218872796943373,0.419406712054663,0.0200606042201814,0.109933662535809,0.312208680150812,0.116460505064308
5324,9474,0.00177982268429681,0.0234378448298632,0.0892183057881316,0.25495760607412,0.00361788420097459,0.352262183444818,0.274726352977796
10147,8277,1.89264929720957e-07,0.0333403500714787,0.530687915509308,0.142062631362841,0.00396392852968178,0.123283671442037,0.166661313819724
6425,10434,1.23822055461095e-07,0.00176004675986728,0.284796702164992,0.0908616533245624,0.00149356598324771,0.551409059783766,0.0696788481615087
8977,6239,1.5830151274806e-11,0.000328710757273574,4.16899952545142e-06,0.000149270494768991,1.49574660634858e-06,0.877965179940411,0.121551174045585
7187,2402,1.14429988396488e-07,0.000883099166552673,0.465116654192025,0.358157182371793,0.00107788446555122,0.118770757351303,0.0559943080227862
7186,4320,6.84779088934115e-06,0.00448544544556859,0.285347376423368,0.0650765147379965,0.00442446013870528,0.335429837996542,0.30522951746693
8701,6958,5.91780305867381e-08,0.0715978377653741,0.229100091273458,0.0163147484484547,0.00115839298416947,0.433824923773206,0.248003946577307
6774,2881,5.33095411961565e-07,0.000347567612050345,0.516481689366508,0.287409372479972,0.00064067148390592,0.137978512955973,0.0571416530061796
8011,8876,7.1402676402529e-08,0.0539801994865487,0.508115945445479,0.0910758976249619,0.000273759935830625,0.00347449635240863,0.343079629752094
7047,7916,6.89050099303916e-08,0.00897930554223674,0.00631055992090921,0.0150165313611576,0.000657005948368461,0.879486824334835,0.0895497039874829
8702,3362,1.0694381578101e-08,0.00186567900973524,0.000618332065503576,0.0176759508323343,0.00102633180509401,0.847353234689152,0.1314604609038
