"x","y","Proliferation","Macrophages/Microglia cells","OPCs","Neurons","Endothelial cells","Astrocytes","Oligodendrocytes"
7048,5758,0.000914854835751156,0.29557365618027,0.000326167471535887,0.00256734266107554,0.227395211420236,0.315419286172505,0.157803481258626
4223,4678,4.4846901078185e-05,0.266089288230693,3.01956763088752e-05,0.00078962285008117,0.0301018138664306,0.651799429768575,0.0511448027068328
7668,5639,0.000740459603836522,0.264229345148059,8.3564278133624e-05,5.94025120761845e-05,0.377081645739536,0.216560328036884,0.141245254681475
4361,6117,0.00328055894613635,0.642765261692158,0.000871268573645119,0.000204504306100097,0.0390491631211376,0.305206017007728,0.00862322635309557
7875,5759,2.74919884629068e-05,0.350118015450523,0.000245068500826241,0.000752893756857362,0.219949030729056,0.235372090756382,0.193535408817892
9871,8517,0.00431628697848269,0.518740772365072,0.00152137844802648,0.0305484704875409,0.0280703728544372,0.247432947856689,0.169369771009751
5048,8515,0.00263757703322067,0.396398120262624,0.00233784749628899,0.00299862894347175,0.10000716007523,0.461198665856355,0.0344220003328098
8564,4560,0.0114310882957628,0.380795203607766,0.00413419587839494,0.0274786899238695,0.366345747607739,0.0617748535509157,0.148040221135552
7391,8516,0.000176511095954618,0.331620721191295,0.000835204818000572,0.00119831629699601,0.238825763515455,0.272073941977551,0.155269541104748
7116,7796,0.000121902220638786,0.3296416588233,0.000180883648909128,0.00207220455347604,0.0332212480097192,0.442591620471282,0.192170482272675
4427,10313,0.000973101482201893,0.367104618479236,0.00188505655884735,0.000854333035714656,0.065051138302621,0.443451311394162,0.120680440747217
9734,7318,0.000116606272373266,0.310105507554491,0.00025174565495643,0.000475725641910373,0.0268181093447293,0.559727383231233,0.102504922300307
7390,9475,0.000125386244611733,0.471699549579364,0.000127454061254981,0.00113041149200898,0.0371700020897213,0.393001779437771,0.096745417095268
9047,2523,0.000208415703207032,0.550888381520773,0.000887433508755598,0.000579709784243269,0.0332625764238701,0.274965258207984,0.139208224851167
4773,8275,0.000945796066324785,0.36731373089502,0.000713331590239824,0.00104219164122421,0.0967714214675007,0.463619089984933,0.0695944383547579
7392,5639,0.000148012644910397,0.280913797813424,0.000489065405854993,0.000827247580507368,0.243457397794232,0.279459467801268,0.194705010959803
7942,8276,5.36101372606763e-05,0.184489768920248,6.78059248611995e-05,0.000140579929024241,0.069381811057388,0.59446122098176,0.151405203049457
5670,4799,0.000111754616291084,0.472509111564705,0.000980140241999542,0.0020291150524878,0.0520509663096121,0.280739014724287,0.191579897490617
9872,6119,1.34543139412596e-05,0.372062334958808,0.000127780747990447,0.000193180310629068,0.31796647436417,0.116700276216878,0.192936499087583
8357,4680,0.000531369665368391,0.259225634420567,0.00017558244271952,0.0053341102698539,0.491469760825952,0.0892270147119372,0.154036527663602
4982,4319,1.70199313525242e-05,0.463917434323475,0.000884850923516768,4.34240612602908e-05,0.0439429734574361,0.358449651960717,0.132744645342243
5532,5038,0.00013862027423228,0.426141204691313,0.00112413499515475,0.000886207991601986,0.0418607586359655,0.331250593862395,0.198598479549338
3808,8994,0.00038568693940167,0.315603623585125,0.000270742108428366,0.000274041971328753,0.050985913345512,0.578115925621477,0.0543640664287276
8702,4560,0.00583636056399706,0.359734418660649,0.000487108424971504,0.00472829813517779,0.395471449049336,0.111147719064815,0.122594646101054
4153,8634,0.000302806367716067,0.18152126768306,0.000141230465468619,0.000601358738078779,0.0713715837056906,0.713076262869602,0.0329854901703843
7944,4440,0.000868352873260846,0.421414030037986,0.000389364508155221,0.00797138183880059,0.297288200023299,0.127002973787291,0.145065696931207
8701,6718,0.000200436220763039,0.257435948772961,0.000798465801864866,0.000964826210308632,0.100723909783131,0.468924668215071,0.1709517449959
5602,3720,2.21206069136826e-05,0.503874785237899,0.000438898053518004,0.000191107578106982,0.0301644593993864,0.225555360042451,0.239753269081725
4499,5398,0.000388491667672379,0.561128911223713,0.000863626380161738,0.00196117798296988,0.0467887765227084,0.261799697276698,0.127069318946077
9321,6838,3.54143743570142e-05,0.285831084148008,8.5270385554097e-05,0.000236125907197911,0.0416620051262898,0.491044068516238,0.181106031542355
4085,6356,0.000443063016481263,0.590402802700396,0.00106409028395732,0.00151301269687056,0.0539353056177995,0.297098464725922,0.0555432609585729
5668,8875,0.000751797120514348,0.423728543334802,0.000550718555025175,0.00925872621283243,0.0998745336364307,0.37595725190108,0.089878429239315
9528,6719,0.000642479805684163,0.286007571424572,0.000713644591927653,0.000869598193321306,0.0581723783883813,0.504063795476305,0.149530532119809
4222,7316,0.000848103587203717,0.439646676276296,0.00100370453086729,0.00326936673034105,0.135070356129928,0.29600332453856,0.124158468206804
4910,9713,0.00493376014160244,0.345141972977458,0.00394439949819406,0.00467685565980125,0.137349239932283,0.435685059055113,0.0682687127355486
7874,7677,0.000109400782076745,0.260925316560164,0.000159553880636292,0.000367586706323402,0.0414830715933737,0.622073375496578,0.0748816949808473
8218,8277,1.11488597788441e-05,0.149878456187062,1.53942603642783e-05,5.25208488075206e-05,0.043928661661304,0.760583243169771,0.0455305750129129
9529,3602,6.97320421851611e-05,0.617291667081032,0.000363167726658087,0.00188748077256481,0.0861433395589658,0.110796664687986,0.183447948130607
4705,6956,0.000637391916994455,0.362960904505334,0.000419401161698747,0.00122889588112334,0.075979176215698,0.493871961031821,0.0649022692873301
9664,9356,7.1295464685431e-05,0.500188786312215,0.000651691415976692,0.028993031815827,0.0624176148533447,0.312985523664903,0.0946920564730488
6567,2042,5.12563511062985e-06,0.606706350427992,0.000175389977629597,0.000250217182509404,0.0147213884864457,0.230430581132981,0.147710947157332
7184,9595,0.000380738934680693,0.368379523254216,0.000824002434865291,0.00456856143428631,0.1224660682021,0.415961132957573,0.0874199727822786
4430,5757,0.000172166770932803,0.44152642818546,0.000210374695169697,0.000383887633624799,0.0551287063541801,0.414074325842502,0.0885041105181309
4980,7676,0.022524967203141,0.476951764797384,0.00378649802826109,0.0121758085596343,0.0749240282510217,0.321650643234056,0.087986289926502
7256,2042,1.01520975997919e-05,0.467518856659011,5.48815592007709e-06,0.00014649110426148,0.0229227389081121,0.4881455187193,0.0212507543557951
3673,4198,2.03016016675731e-05,0.129347659819026,0.000108596464080651,0.000540348481313042,0.60312129606245,0.204305554796281,0.0625562427751826
