"x","y","Astrocytes","OPCs","Proliferation","Macrophages/Microglia cells","Endothelial cells","Mesenchymal cells","Epithelial cells","Neutrophils"
7184,9355,0.011735070503458,0.00825004529309228,0.000927744597770319,0.117384207545302,0.227425758060891,0.0213214496420225,0.0241096254806215,0.588846098876843
3671,6836,0.00590159781542703,0.00832666396203713,0.00098444564319393,0.202614698439677,0.333503261280811,0.0647124812693225,0.0459916331320767,0.337965218457455
2499,9113,0.00438893468779677,0.00615816116945616,0.000413794033472977,0.10817226013853,0.214485495338701,0.01245476556529,0.0111244855476603,0.642802103519092
9595,9956,0.00695779585446048,0.000323894821946423,3.24802377817554e-06,0.188507541443142,0.509271241205168,0.000196911611760951,0.000388020131103124,0.29435134690864
3397,4917,0.0031482830654049,0.00155821587744965,6.28129137379546e-05,0.280543585158908,0.26815773457008,0.00505846988708368,0.0168803976696787,0.424590500857657
6082,8875,0.00656351418067697,0.0001918038801383,1.9278168090304e-06,0.0124517486386131,0.801180954289304,0.000135005174733857,0.000435229451394286,0.17903981656833
6151,8036,0.00279097075033809,0.000234485870883873,7.45665592182766e-07,0.0282946005643785,0.657751410943415,0.000220649657521002,0.000190973885856279,0.310516162662015
6635,4320,0.00295943621175498,0.00492586766050584,0.000313565082346178,0.337174788315684,0.178116768402546,0.0190151899979132,0.0170279105520412,0.440466473777209
4155,4318,0.00286733352460962,0.000590943741008793,6.29931679527778e-05,0.0508814340220614,0.525487290265284,0.000397687491141408,0.000594541401339702,0.419117776386603
9667,2643,0.0156013305993322,0.00191373602742968,8.45518764335284e-05,0.277228398338816,0.185532205906969,0.00792253816417596,0.00600365245156949,0.505713586635274
4222,7555,0.00436051347988812,0.0350300047537508,0.02002885792895,0.0897313139287619,0.284892999923846,0.0291491714814499,0.0835853437407723,0.453221794762581
5947,2641,0.00351189187142896,0.00859183402351493,6.27931807567845e-05,0.166866892881141,0.463861267013356,0.0185195539620855,0.014306875357858,0.324278891709859
3396,5877,0.00520507050788294,0.00731916712518454,0.000167883844903369,0.260059792170449,0.2314645308302,0.00948788448654624,0.0097315671285297,0.476564103906304
8839,6718,0.0186822607350664,0.00521996074230995,0.000120293825809792,0.222466383135596,0.289877408569099,0.0171383864400146,0.0154650449062959,0.431030261645808
8977,6479,0.0066361217162374,0.000347251425507186,1.12977241195449e-05,0.062090993478773,0.655697897746712,0.000261037597567592,0.000834818018684386,0.274120582292399
8427,3122,0.00515391845095364,0.00378569592445909,0.000192680058914192,0.107907610267784,0.346191378019718,0.00650459097361972,0.00669329574701219,0.523570830557539
10286,5161,0.00148849029461279,1.81484980913911e-05,5.82275223978766e-08,0.0108692329312929,0.888288099799501,1.53306793876084e-05,1.51001443352783e-05,0.099305539425257
7116,7077,0.00289836454383259,9.30198438008779e-05,1.0170534332498e-06,0.020682279924809,0.712507358224234,0.000231267265174797,0.000291370776384271,0.263295322368332
9666,5760,0.00108219677570863,0.000158752842136065,1.26142753484546e-06,0.0711095957281616,0.690997870155505,5.51877534048449e-05,0.000277370814778302,0.23631776450277
7805,7797,0.0276562927544644,0.0107045956278593,0.000523622963729708,0.280950091943122,0.284428926329846,0.0189249595259294,0.0270185835155186,0.34979292733953
8355,9236,0.0122250334461859,0.00278592688033837,5.70311098878894e-05,0.0822801291369808,0.212504778952994,0.00140658813339763,0.00476600436369089,0.683974507976525
9320,7798,0.017409774810347,0.0209147010477896,0.000406421456836669,0.283037173763028,0.14236454325067,0.012243377692835,0.0357470834124287,0.487876924566065
10011,3962,0.00565440594402047,5.31519144241107e-05,8.66810280587545e-06,0.0736116624014898,0.634774108915289,0.000653534509501721,0.000226423220915252,0.285018044991554
4017,3359,0.00418037508313002,0.000379807770865768,0.000106794213548031,0.147112539824159,0.48681391652226,0.000171390555675182,0.000503450108895554,0.360731725921467
7118,3001,0.0122954660900045,0.013213930618844,0.00054502798776872,0.13081099288395,0.403865706951983,0.029888985617569,0.032840311769505,0.376539578080376
