"x","y","Endothelial cells","Mural cells","Cytokines","Neurons","Epithelial cells","Proliferation","OPCs"
10147,7079,0.0730676584817454,0.00615752621703168,0.0676017732898313,0.0110760999186525,0.0446204628579171,2.81346482248007e-05,0.797448344586597
5672,1922,0.0392445597114805,0.00110361025586669,0.102144651890747,0.00383066724855087,0.0598371983199247,2.25470798774884e-05,0.793816765493553
6564,8036,0.00427677728150501,0.000117548667520533,0.0869349989907699,8.31591320633974e-05,0.050171091322119,1.3744949057408e-06,0.858415050111116
5394,5997,0.00579203061717332,0.000223436919161696,0.0752127953795394,9.96125916470881e-05,0.0572745794037184,2.29505757879685e-05,0.861374594512972
8700,8636,0.0342984346876752,0.00269886016376449,0.100514281956137,0.00318726125727905,0.0637793334804142,0.000325261242948849,0.795196567211781
8703,2882,0.156468841643382,0.0135276910125776,0.187311604126442,0.0149791367904263,0.0825040845287858,0.000583011553375546,0.544625630345012
8770,5639,0.121782560613744,0.0028120825921809,0.167584280987265,0.00173141380650821,0.0543488687557364,0.000142144808392821,0.651598648436173
5187,7796,0.032367174719378,0.0010084296847962,0.123373529868369,0.00125691069498394,0.0770213187990935,0.000121446301457938,0.764851189931922
10012,2523,0.0506048226978525,0.00289441989660393,0.193067918011988,0.00580990434972129,0.0728843490740165,0.00136936374584603,0.673369222223972
6911,3361,0.0497626684726069,0.00223522819640073,0.100208232827465,0.00283895543832884,0.0784238145978978,5.89201705014475e-05,0.7664721802968
6911,3840,0.0710379937075491,0.00207156382263942,0.118806988668161,0.00213794042547461,0.0929812133658721,6.70734153798655e-05,0.712897226594923
8497,1803,0.0854576309254883,0.00648698207377433,0.146435762872531,0.00867208711030243,0.120168789362372,0.000725620126209296,0.632053127529323
3604,3599,0.000123474169192943,1.4948289084805e-06,0.0392588722481551,3.22287638519949e-07,0.0333117134646376,1.51060507896413e-08,0.927304107895417
4223,4918,0.0157835561089139,0.000839306495125235,0.0767453919177512,0.00281892537413652,0.0590498268424594,6.24118586419852e-06,0.84475675207575
3742,3119,0.0107052882836022,0.00121322280772422,0.0814473845010509,0.00166243375527484,0.061250656119215,0.000165689704134049,0.843555324828999
10215,9596,0.199387922057833,0.0138430783936682,0.0829233326522648,0.0325043530005746,0.0291679179998018,0.000184211465183948,0.641989184430674
6082,8635,0.000886661597305395,2.41344636459852e-05,0.0650562087684264,5.33078620136791e-06,0.043435985335325,1.75967632829517e-07,0.890591503081463
7048,5758,0.0415827728937119,0.00125150598172322,0.0859756989208258,0.00204053405019454,0.0618228419302292,2.13112668535768e-06,0.80732451509663
4223,4678,0.00128537630928147,3.97087698097345e-05,0.0707194027830722,1.6990492227115e-05,0.0514890792036232,9.06628375692587e-07,0.876448535813611
7668,5639,0.0863330248951271,0.00606423085766874,0.120397329287274,0.00657098183284739,0.0560569586372265,6.23965153921376e-05,0.724515077974464
4361,6117,0.0554295203996689,0.00395451225844249,0.144084581065859,0.00138686821917087,0.105298223417204,2.52950084950835e-05,0.68982099963116
7875,5759,0.0309921040456701,0.00054098125489407,0.101689910309775,0.000890906200031634,0.0397188605475488,3.75613350042035e-08,0.826167200080745
9871,8517,0.168410211919519,0.0203448071464744,0.178270414535782,0.0440900719402168,0.0962854578328086,0.00753654844640761,0.485062488178791
5048,8515,0.0110453623987146,0.000270699488185306,0.123609335765327,0.000293057462396603,0.0673286552517963,1.23136326310663e-05,0.797440576000949
8564,4560,0.250911743360862,0.025238358038614,0.329852572509837,0.0352312198843582,0.156466280777895,0.0285971570653215,0.173702668363113
7391,8516,0.0470356644555125,0.00116359661323724,0.0783429046636513,0.00320816290362766,0.0379606641035933,1.20949488335927e-06,0.832287797765495
7116,7796,0.0335785927957813,0.000782660714496915,0.107370832480832,0.00127527542508102,0.0368247624648835,1.5554113473652e-06,0.820166320707578
4427,10313,0.00270496687184411,5.93108069401904e-05,0.0851895343170103,3.01410627642715e-05,0.0479722372425265,2.43084865906995e-06,0.864041378850256
