"x","y","Neurons","Cytokines","Endothelial cells","Proliferation","Macrophages/Microglia cells","OPCs","Epithelial cells","Mural cells"
9528,6719,0.0680531636072512,0.1005877288646,0.17260717289654,0.00111852869753688,0.112433403450348,0.327874470253544,0.0995384240134073,0.117787108216772
4222,7316,0.181382079419976,0.156505573248949,0.134879217408387,0.00220277447605653,0.147152387679599,0.102956067994792,0.211796966657608,0.0631249331146315
4910,9713,0.11696576173813,0.241371277059448,0.067412439540616,0.00426684671186161,0.0746446515248548,0.26518054466438,0.1697426863366,0.0604157924241092
7874,7677,0.0759386537482101,0.0788295295613292,0.0605046315871278,0.00160082252110719,0.13021326789961,0.548421114310342,0.0481451609051935,0.0563468194670797
8218,8277,0.0601073506062796,0.0340324142806724,0.109641360665674,0.00098075307757603,0.108815235849536,0.651495209872944,0.0234410728719149,0.0114866027754034
9529,3602,0.0462879434803543,0.0608531641960694,0.276352808038172,0.00109428921932297,0.361568718579403,0.0920201628614648,0.0897411321894869,0.0720817814357263
4705,6956,0.146232735710825,0.180366623533802,0.094202540819207,0.00146003960086775,0.135770198922217,0.223644039552567,0.144539627520001,0.073784194340513
9664,9356,0.0418922741495995,0.0678865248919862,0.229040184895863,5.33454882400138e-05,0.408695328919311,0.145957528112225,0.0237610531289529,0.0827137604138222
6567,2042,0.045729697892029,0.162362405851923,0.0564933969076087,0.000193189572724116,0.27370522008485,0.00760710104442975,0.0678412863428404,0.386067702303595
7184,9595,0.0680037536985505,0.13468204669849,0.0524787474219781,0.00121317158335282,0.188209243632938,0.283591093874844,0.186069416978311,0.0857525261115354
4430,5757,0.125625740247188,0.230119217632759,0.056986299895376,0.00221485339917777,0.209849455849108,0.147098195815074,0.114617805882793,0.113488431278523
4980,7676,0.0765172737934846,0.204020481217381,0.0864630980428486,0.0095718504088956,0.125306324154581,0.0901604798868672,0.107590267946432,0.300370224549511
7256,2042,0.0448589990127039,0.0672034528094538,0.0326827454006398,0.000523086182778117,0.211779633474336,0.113501079918519,0.155000706356885,0.374450296844684
3673,4198,0.1403723262092,0.118928994684198,0.133526796970385,0.00166473798136171,0.0912101906610679,0.49844108096809,0.00306055955153791,0.0127953129741595
