"x","y","Neurons","OPCs","Endothelial cells","Astrocytes","Macrophages/Microglia cells","Proliferation","Oligodendrocytes"
9047,2523,0.00039725795635924,0.00674984224253472,0.159769000152233,0.288530742963826,0.396690700279709,0.00120770238343608,0.146654754021902
4773,8275,0.000677189771713278,0.0062061343249012,0.127630604448086,0.391040001721406,0.244079966998855,0.0084725484852492,0.22189355424979
7392,5639,6.5761613507967e-05,0.00074756079064753,0.29683184788986,0.324256392918279,0.26237213732145,0.00084438873968177,0.114881910726575
7942,8276,0.00305879284619169,0.00490278832529934,0.283268784352061,0.342226493495375,0.123557186060183,0.00129960267066966,0.241686352250222
5670,4799,0.000540814762149235,0.0034970121621565,0.0453856867804521,0.177772775775657,0.473511157822333,0.000385811513400603,0.298906741183852
9872,6119,2.46307205911418e-05,0.000477175610885426,0.579575303220756,0.117921204079109,0.276486868336509,9.20379262331075e-05,0.0254227801059164
8357,4680,0.000521078677320065,0.00209758670044555,0.542220142936508,0.120930870373391,0.275358712467859,0.00407527599292475,0.0547963328515523
4982,4319,9.55718710905468e-05,0.00135655056324967,0.0809517836567459,0.356845979364403,0.369133292254339,0.000165264123785431,0.191451558166386
5532,5038,0.000623541788728205,0.00804800885985513,0.083627444367161,0.32407388700135,0.256785960956266,0.000879822151859036,0.325961334874781
3808,8994,0.000410485003864889,0.00561965825943434,0.136427078418463,0.385416023441823,0.113599515956784,0.00934033787313043,0.3491869010465
8702,4560,0.00628481096336958,0.00215198953720418,0.337663530026999,0.144911435450791,0.374766314704298,0.00914558319044891,0.125076336126889
4153,8634,0.00259150672640386,0.0142377143331033,0.263627678904119,0.43312938037151,0.059151811750532,0.00401061418444838,0.223251293729883
7944,4440,0.00280658513662714,0.00486894384900567,0.247920606841966,0.168302212056288,0.442035360631234,0.00559695479485038,0.128469336690028
8701,6718,0.0014318454717166,0.00550462783824002,0.166057431926636,0.469918751547671,0.0949348910132793,0.000719368465571353,0.261433083736886
5602,3720,0.000101601321079437,0.00111741604526466,0.0807568071400445,0.255935795480555,0.36816647357107,0.000112936861104539,0.293808969580883
4499,5398,0.00135427428988544,0.00934741735014014,0.14193255633829,0.293525447237158,0.349772686146079,0.00812655501702879,0.195941063621419
9321,6838,0.00175868266524056,0.00838245892100311,0.0685368968667855,0.506374372567834,0.176190844227456,0.000964478931918597,0.237792265819762
4085,6356,0.00354761209314588,0.00671863902222061,0.153322087950392,0.23523005143797,0.443879351637478,0.00378993603614331,0.153512321822649
5668,8875,0.00611696810774621,0.0132392338262035,0.158101932106435,0.404930442722241,0.15195525243719,0.0106557727953335,0.255000398004851
9528,6719,0.0010457152982458,0.00982170263832669,0.110873223463997,0.473907817607128,0.183225426049143,0.00215805734565622,0.218968057597504
4222,7316,0.00137643063261399,0.00434639557712953,0.174025400100294,0.320675992630491,0.17140465362155,0.00563670817388915,0.322534419264033
4910,9713,0.00292978122790568,0.0272216937577526,0.0908902648794336,0.447443825126778,0.116107081851267,0.0105727470821265,0.304834606074737
7874,7677,0.00115252646654824,0.00286321119870111,0.10221489287218,0.506215048716075,0.123598698864021,0.000854780428368399,0.263100841454106
8218,8277,0.00204193779828574,0.0124016504757562,0.223638691665085,0.487477028299837,0.0768938166438199,0.00212982052838192,0.195417054588834
9529,3602,0.00174882201178067,0.00352082479293641,0.215099832161286,0.276743712040578,0.434815137164193,0.00255329253729522,0.0655183792919304
4705,6956,0.00090860253686335,0.0050155284263183,0.241349641275908,0.325751146128203,0.141604697929713,0.00371152839650759,0.281658855306487
9664,9356,0.00841993019590348,0.00871087899593094,0.277446456958577,0.220136498466485,0.264972048247554,0.000883776567913747,0.219430410567635
6567,2042,0.000242920081530849,0.00106199254813273,0.0595557672358237,0.182466277368187,0.611236656477892,0.000624794008976862,0.144811592279457
7184,9595,0.000495400162602715,0.00694424629082285,0.107212214393859,0.362336780986541,0.137652953672168,0.00290049249916941,0.382457911994836
4430,5757,0.00127289250200087,0.00530698458007808,0.186485582217776,0.344114406625916,0.243153760535336,0.00327680948706791,0.216389564051826
4980,7676,0.00321151161989134,0.0129865461225264,0.118001692117902,0.256698572179166,0.394089199725306,0.0260274965239428,0.188984981711265
