"x","y","Macrophages/Microglia cells","Epithelial cells","Astrocytes","Proliferation","Endothelial cells","Fibroblasts","Neutrophils","Oligodendrocytes","Neurons","Mesenchymal cells"
9666,5760,0.184488597036614,3.97008214869537e-06,0.000501867204544401,4.2499928592899e-08,0.447149323391601,0.311499332976691,0.0032060732904444,0.00485175082589629,0.00754139741221708,0.040757645279914
7805,7797,0.14337100855847,0.00105620147583761,0.0076122875854939,1.63240191560441e-05,0.0493915198645601,0.593759394153619,0.00270995775639863,0.0501905266869827,0.0805218946138551,0.0713708852856271
8355,9236,0.147836271749686,0.00155842465751486,0.0134914344143929,1.48695528604779e-05,0.0742237761554873,0.529561081264077,0.0184429767309002,0.0902838523602481,0.104339797027046,0.0202475160877873
9320,7798,0.213813675101455,0.000596290283036642,0.004331528540732,7.77883053122584e-06,0.00446005263225241,0.647750853368216,0.00253144763054434,0.0546006403114521,0.0473583088725748,0.0245494244292051
10011,3962,0.109909078609826,2.18633975001617e-05,0.0013188533131877,1.69215320453054e-06,0.573349481696726,0.182721804726934,0.00228337356125732,0.00505645504930284,0.0261044999644421,0.0992328975276188
4017,3359,0.189039110951864,0.000488728050297697,0.0021110163316222,9.09748595233336e-07,0.148347471031415,0.530533052392075,0.00730581793238786,0.00250350597303161,0.0132700970403535,0.106400290548358
7118,3001,0.320355896847001,0.000357288809030922,0.00322023542208474,5.51849438535205e-06,0.0930377711850363,0.368462497163151,0.0281399950190741,0.0126683255961418,0.051851669885013,0.121900801579082
5877,5398,0.221896252211477,0.000672176319712913,0.00331055082032748,1.31554143684932e-05,0.00499652536347034,0.711493122283544,0.00225263945559794,0.018475995722096,0.0136598275104745,0.023229754898932
6359,5518,0.198547505372052,0.000333339471465792,0.00392016504750746,1.8260005325469e-06,0.0117861264398042,0.573784262539911,0.00976030662117452,0.0492143138278523,0.0254013941804805,0.12725076049922
8289,3122,0.0914987798702997,0.000941674178631711,0.00393716311806818,3.62150348638497e-06,0.016267345499419,0.755414120537672,0.00570651980443778,0.0443282230763233,0.0296587267524495,0.0522438256592127
4497,8035,0.150158859540619,6.91464249299494e-05,0.00616183680186697,3.21213476259088e-05,0.0750006320722825,0.508456873232692,0.0226313073548578,0.00347081592843923,0.104101048433985,0.129917358862702
3674,2040,0.216996560670447,5.4333594849094e-06,0.000243278616565244,4.53406161826573e-08,0.586610240845444,0.141257665167678,0.000770022559048721,0.00511404138350417,0.00237426533205994,0.0466284467251522
8565,2163,0.169887179645017,0.000425561664495182,0.000957993248716269,1.52229489074545e-06,0.0104916468534386,0.522515899825674,0.0068611331469781,0.0152564421756677,0.0133685542862145,0.260234066858907
4636,7076,0.198034346007718,0.000219490167732064,0.00671880143526964,5.300316310977e-06,0.156044643288024,0.384809699612151,0.0394767046969216,0.00648026389579589,0.0868866482787763,0.121324102301301
5257,4799,0.28223290016589,0.000232169239809436,0.00107406051488572,2.686801546931e-06,0.0115794846734618,0.435020029670337,0.00700616229301948,0.0722236363472727,0.0159671774713868,0.17466169282239
4910,8754,0.0650274297586837,6.87235116525611e-05,0.00907807173516853,6.13889503204696e-05,0.202939591538964,0.451691776469452,0.0167245561029313,0.00687972683147769,0.13332402706395,0.114204708037399
4086,4918,0.164469292256961,3.74603871635736e-05,0.000212458346563274,2.26362341868735e-07,0.172525562193121,0.475661375806859,0.00664857463320104,0.0382141503795396,0.00314040649460357,0.139090493139646
8769,7557,0.121196243423853,0.0024394012215632,0.013788816602463,1.13224684736918e-05,0.00483751601874969,0.601965943836117,0.00444182034794056,0.0882233828131787,0.133081032474519,0.030014520793142
6843,2522,0.438046078402046,0.000197527141129943,0.00375840610965316,1.3598388476242e-06,0.0413655593251168,0.371775694491558,0.0128009187542072,0.010920997295215,0.0379571257634703,0.0831763328787557
3809,6836,0.194429775560772,0.000170719153827351,0.0026233082323737,5.00766866341328e-06,0.0753217007443712,0.469672208057772,0.0200822565054703,0.00363897328051136,0.0546700851090987,0.17938596568714
4707,2161,0.106991549464903,2.36206653237217e-06,8.37066974134861e-06,6.34977583744323e-08,0.0284155224529824,0.803114550499808,2.08062772252246e-05,8.58047460375506e-06,2.76586595241442e-07,0.0614379180098498
4497,8514,0.134302733224182,0.000103206284687613,0.013310368249232,4.66383617094255e-06,0.142698991633357,0.422899356843747,0.0143795150712782,0.037088171464921,0.118285107576042,0.116927885816381
4499,4918,0.279915807386098,0.000280868173071197,0.00283208688524386,1.43171731404228e-05,0.0550203399592739,0.332378685441219,0.00982782383409683,0.0146466471883946,0.0369734077863772,0.268110016173085
10147,7318,0.252478855016211,0.0002231390646522,0.0143243492875186,7.51800497457624e-06,0.00358745371115988,0.484058736692161,0.0048233957029929,0.0540239079902155,0.125710502876523,0.0607621416535912
10149,3482,0.245629554805547,2.53776614071116e-06,5.30507071213828e-05,1.40223563679296e-07,0.318467294733211,0.409056416391349,0.00250907118646043,2.6859750751298e-05,0.000139370809126542,0.0241157036267289
5944,9115,0.0987334339578465,0.000112252884396332,0.00988400101126174,8.71754354757349e-06,0.231153588823533,0.375470776733891,0.0268175673754671,0.0111190530136141,0.140543495255296,0.106157113401146
4016,5757,0.204097240383084,0.000174815423409765,0.00266925662536414,1.77658835030844e-06,0.0234600015988474,0.561178917837909,0.00911648812820377,0.00505105967216091,0.0103430981322151,0.183907345610456
8703,2163,0.134780459951086,0.000300085397784984,0.0197347828037184,1.85086566096008e-05,0.0173460984966677,0.63004730649248,0.00969209982421012,0.0160853212583838,0.0909689410706367,0.0810263960484229
4431,3120,0.332117073090258,0.000374973855268883,0.00285707439600539,3.61421206396806e-06,0.17516316536663,0.167378933525363,0.0237801007172433,0.0461801348204503,0.0558440621597676,0.196300867856949
5051,3240,0.267953548174343,8.59512200617359e-05,0.000116850594908329,4.93491901425104e-08,0.025166168088832,0.457889080722861,0.00471377059519459,0.0221678212163165,0.00508072759061563,0.216826032447676
