"x","y","Endothelial cells","Neutrophils","Astrocytes","OPCs","Epithelial cells","Proliferation","Mesenchymal cells","Macrophages/Microglia cells"
4016,5757,3.1803072311832e-11,0.0108074831407846,0.725265784715583,2.3781457749431e-07,4.77814389960995e-05,1.38046273636467e-14,0.1021582672488,0.161720445609442
8703,2163,8.44886873517583e-13,0.0045970484980583,0.913377599257095,3.87214574373316e-08,3.5182869595593e-06,3.24466972954918e-17,0.00190028726530542,0.0801215079702795
4431,3120,1.29465995889659e-12,0.00428411238527189,0.904056934060208,1.24528190838654e-10,4.75252094616221e-08,1.60766585165213e-23,2.35021016098902e-05,0.0916354038018783
5051,3240,1.9636933020204e-20,0.00142637140913346,0.935599802257385,3.20863655747819e-12,1.46451259520842e-09,2.16830561427899e-26,0.00165343104152288,0.0613203938242376
5324,9474,0.000947775307521106,0.00964563724487595,0.824050509683837,0.00111738302297073,0.0684144107823543,9.22782993455578e-07,0.0260787542726768,0.0697446069027703
10147,8277,5.22276966756596e-17,0.0040694257692514,0.925791056652835,6.02697246330025e-11,1.408309794937e-08,3.94363505547407e-23,1.01004460544446e-09,0.0701395024245009
6425,10434,2.56597048089841e-07,0.0139189882095501,0.713321918929726,9.05530666708805e-05,0.00524047744821128,2.14443250797835e-11,0.108033224266877,0.159394581460472
8977,6239,0.695347640367603,0.00885563082050094,0.211655612839005,4.17509375346336e-08,1.7716392962723e-06,9.67725097621493e-17,0.00847620527924487,0.0756630973034125
7187,2402,3.93196028534304e-20,0.00282995464187273,0.932900810856355,3.42674899088302e-11,2.53759111607182e-08,2.44007017242194e-25,1.23184784831492e-10,0.0642692089684092
7186,4320,0.0194488629278186,0.0132283303832209,0.62236029596652,0.000482887526245615,0.0161884637915222,1.72946912928297e-09,0.107232281107997,0.221058876567206
8701,6958,1.21821121880601e-13,0.00306225627763821,0.978009138465354,2.70521299681993e-10,4.53464428297041e-08,4.08268735181712e-22,8.21624371143671e-13,0.0189285596390999
6774,2881,4.29308304420479e-14,0.0025028408791057,0.75116071077081,1.8592052075189e-09,8.97309444308494e-07,4.27369091242854e-19,0.0424620125224864,0.203873536658905
8011,8876,1.50419028122298e-13,0.00473937009604991,0.929847666783475,2.30052699661637e-07,2.33671538332426e-05,1.61987242520051e-15,7.01626093590393e-10,0.0653893652121638
7047,7916,0.18809178414615,0.00400535113091198,0.734801775559281,4.35498544154145e-06,4.06265142496485e-05,2.41027383830641e-14,2.27959649987368e-05,0.0730333116989427
8702,3362,0.100672644755207,0.00943067543023945,0.821211366794303,2.99574086832321e-08,5.41723043912476e-06,4.21528543413083e-17,1.98345146504404e-05,0.0686600313177525
7391,7797,0.214819655630287,0.00880630929071505,0.699498843577542,1.18606814358178e-06,8.78202108235842e-05,9.02451711194031e-13,0.000499267568969148,0.0762869176526172
6016,3240,1.05051020234928e-16,0.00297351354965706,0.824894384866406,3.20086886401541e-10,2.77986633708501e-08,2.7922407689181e-23,0.0783866884840031,0.0937453849811836
7600,4320,0.340644243295637,0.0106003375500008,0.366931557678378,0.00335145575514032,0.0239274672088995,4.98820500115678e-06,0.112151101315271,0.142388848991672
9529,3842,0.0401645320972145,0.00613613617026251,0.86421666479975,1.03151628703765e-07,1.15405583782083e-05,2.55163560161984e-11,2.09962945299068e-06,0.0894689235677967
3880,2400,0.718363059429416,0.00364264725044393,0.250468601354982,4.46747090779091e-08,4.83095260099849e-07,4.5105389575279e-17,3.85220398490339e-05,0.0274866421553406
