"x","y","Neurons","Cytokines","Epithelial cells","OPCs","Endothelial cells","Proliferation","Mural cells","Macrophages/Microglia cells"
7390,9475,0.000582783515618732,0.00558344248463817,7.55500830044701e-06,0.294077823166799,0.0963018586527809,1.3842663964132e-05,0.283062052402527,0.320370642105371
9047,2523,0.00219377083028551,0.0209997124177423,0.00128538371695747,0.0573618807209586,0.15647728119253,5.22263256197234e-05,0.29997765549606,0.461652089299847
4773,8275,0.00307598323051266,0.00625714740177024,8.1619697101118e-06,0.293495269056835,0.166493107132156,0.000143717388782108,0.123333401627983,0.40719321219225
7392,5639,0.00208554793539932,0.00548862604311933,5.0344470171946e-05,0.234855805999516,0.250655909331287,4.65705052994148e-05,0.170201140236429,0.336616055478778
7942,8276,0.000274438225829569,0.00773187723621175,0.000224414378825221,0.433662445046703,0.115221641105434,7.41788356741956e-05,0.0688729923793832,0.37393801279194
5670,4799,0.000279896086785217,0.00267058555120478,2.53649557837898e-05,0.234711327215484,0.0457580267276437,8.13512458810271e-06,0.539377527679892,0.177169136658618
9872,6119,0.00172183229380467,0.00176191693219737,5.98134860374605e-05,0.0194075033324708,0.336612053774519,3.05885343104693e-05,0.0234662932557102,0.616939998390951
8357,4680,0.000855838953382629,0.00629910727600674,9.82212048453626e-05,0.0710216501425984,0.363176121152446,0.000388915596730262,0.186276707368982,0.371883438305009
4982,4319,0.000226610472423397,0.00911634780447411,0.000305793264297297,0.344487674346405,0.0651530128104465,2.8950142377087e-06,0.363535219442573,0.217172446845143
5532,5038,0.000370373521001772,0.00259322718786362,1.85740096399267e-05,0.357254386707519,0.0527928019314847,1.36290850955856e-05,0.252630698600786,0.334326308956609
3808,8994,0.0015229222226556,0.00297930894768787,3.20740334249883e-06,0.464707761095493,0.113242827145437,9.34026438029143e-05,0.196519547352265,0.220931023189316
8702,4560,0.00486065760977725,0.00755610762188501,0.000212468353139,0.0276483030551286,0.294219808828416,0.00274872516079617,0.138438749201558,0.524315180169299
4153,8634,0.000209578122812913,0.000623536370332217,6.55030874524955e-07,0.570354714389723,0.127533400914635,5.39026963262096e-06,0.0675500404719903,0.233722684429999
7944,4440,0.00418326494960734,0.00416842637497882,0.000216570812454269,0.00826580212451338,0.264289189337193,0.000539101341855451,0.180167202616079,0.538170442443319
8701,6718,0.00197507672444997,0.0119472046028687,0.000351359465098861,0.33515833629537,0.141259085394133,4.03428336622328e-05,0.10135749580693,0.407911098877486
5602,3720,0.000582132481754372,0.00204058696674903,2.26238050092842e-05,0.145006232135234,0.105170070215334,7.05896157651553e-06,0.34452856391962,0.402642731514723
4499,5398,0.0029596324222512,0.00893936134291769,6.30215964536512e-05,0.145677349004093,0.146107286319175,0.000442030854810091,0.283362501953141,0.412448816507157
9321,6838,0.0023926149915459,0.0148394947262757,0.000408285113200206,0.394379830416491,0.118368089682305,9.71834625896087e-05,0.179487044621748,0.290027456985844
4085,6356,0.000716837493111298,0.00155914129808034,6.61674230387202e-06,0.206652494961886,0.102926677953966,6.08639367224836e-05,0.256408434199793,0.431668933414136
5668,8875,0.0012038434166726,0.00542571107072568,1.57784182478949e-05,0.338446265543529,0.138362927754231,0.000109618333785551,0.143604124352786,0.372831731110023
9528,6719,0.00358801467871637,0.012880942574317,0.00084878924419825,0.313295722640196,0.164002800184786,7.11679574734654e-05,0.146624692911544,0.358687869808769
4222,7316,0.0035932881339928,0.00495839163503807,2.11155477904405e-05,0.182593984862527,0.201709292444893,0.000169922221527351,0.0555777121359386,0.551376293018293
4910,9713,0.00150723592952518,0.00318064835145944,5.75710580033785e-06,0.357318819465322,0.177597909832364,5.47092921362649e-05,0.0971337962991772,0.363201123724215
7874,7677,0.00157754218018485,0.00900890334177806,0.000162378877105646,0.385530468021524,0.10674193799821,6.93948759209396e-05,0.134772329614875,0.362137045090402
8218,8277,0.000564361648733361,0.00540198289543739,0.000145526987307604,0.491416192092335,0.107075230668937,3.38672264092023e-05,0.0613423560472683,0.334020482433573
9529,3602,0.000681103598080319,0.00234560139007575,0.000474647679512476,0.012752540674706,0.117839376009603,0.000362462070149702,0.0195046504149806,0.846039618162892
4705,6956,0.00131942161711222,0.00169057979006333,3.38480866756049e-06,0.305209803001215,0.174015519146524,2.65038971690462e-05,0.120123535818172,0.397611251921076
9664,9356,0.000191867359305558,0.00105167202495679,1.03547735753129e-05,0.031920546916055,0.0948550048392042,6.08330666095454e-06,0.00585326410296242,0.86611120667728
6567,2042,0.00039201098122792,0.0070407520518623,4.144110816259e-05,0.0452380305372081,0.0473043003655347,1.66235080575359e-05,0.669766781904252,0.230200059543695
7184,9595,0.000352322440479723,0.00376096242063012,2.05033046402663e-05,0.430441688034434,0.0921100361416835,2.67609170600541e-05,0.165339745909964,0.307947980831108
4430,5757,0.00112038049922795,0.00397997862667084,7.43241440578865e-06,0.232014309368489,0.158199417327615,5.20172806335493e-05,0.148736761732889,0.455889702750069
4980,7676,0.00208142407716456,0.0056931776341471,2.78014566039616e-05,0.161243838275535,0.131911962044988,0.000864879884407483,0.370389987389751,0.327786929237402
7256,2042,0.000364854170219529,0.00518210282718093,2.92756252568024e-05,0.188920323983406,0.0450190238529717,3.63474488465882e-05,0.550884251923357,0.209563820168761
3673,4198,4.57383792091937e-05,0.00133733470427112,4.72186377912383e-07,0.483643957709478,0.258288247587341,2.05995867079278e-06,0.0443197533602135,0.212362436114438
4910,9474,0.00351879177255258,0.00343389010819012,3.16242720176762e-05,0.30348719519903,0.152694906305814,0.00568179979346664,0.166504442514802,0.364647350034127
5531,7676,0.000754123536389152,0.0047188740475938,3.59395793767326e-05,0.0730018517021633,0.043779262533388,0.000214796039278324,0.69333363192139,0.184161520640421
8287,7198,0.00204991752702118,0.00799054902160696,0.000123433964372128,0.308597562424283,0.134852138474467,4.00899987649362e-05,0.206687555741836,0.339658752847649
10012,2283,0.00546766085126776,0.0199403156418096,0.000738483676849668,0.321588331958615,0.138725209065426,0.00384005999806582,0.297617043271588,0.212082895536377
10011,3722,0.00329862811171955,0.00345848505745556,5.0260896577959e-05,0.02915168127731,0.272990278171901,8.30409296943875e-05,0.0819712077273351,0.608996417828007
6289,8276,0.000233646096513093,0.00191526221545809,9.01778481428795e-06,0.352107270794544,0.253297162843829,5.49271209393464e-05,0.0882302247301137,0.304152488413789
