"x","y","Macrophages/Microglia cells","Endothelial cells","Neurons","Proliferation","Astrocytes","OPCs","Oligodendrocytes"
9320,7798,0.0735493939056153,0.0315368543877765,1.50879047451052e-08,1.05439624413037e-06,0.853686894554267,1.64219288913537e-05,0.0412093657393006
10011,3962,0.2516560377848,0.358517140807834,6.23424622283621e-08,8.20633884830916e-05,0.379035721275132,2.09876409363394e-06,0.010706875637195
4017,3359,0.227756565455983,0.16700314534735,6.521726824083e-09,2.45673184738139e-06,0.55303935549249,1.79966961157295e-05,0.0521804737544872
7118,3001,0.220524067033588,0.0585497097968908,5.69747949044861e-09,1.92848339763202e-06,0.719239000837617,4.98485008950163e-07,0.00168478966601846
5877,5398,0.135320042202352,0.101438338002276,1.61800736631719e-08,2.98724279572418e-06,0.695088509779204,1.10497788239049e-05,0.0681390568144751
6359,5518,0.185034778083565,0.0377340275506474,4.59119330160599e-09,9.01494531497482e-07,0.744535130063953,1.57601810945096e-06,0.032693582198
8289,3122,0.115924585003467,0.0212341835798917,5.05903271657632e-08,1.01764488142178e-06,0.835703617540977,8.41061820086115e-06,0.0271281350222547
4497,8035,0.202384448713661,0.437660976487746,3.24017418284087e-08,0.00012410649214074,0.342997077037167,9.79576948165539e-06,0.0168235630980618
3674,2040,0.392021107017515,0.055748447503189,1.70841520366896e-07,5.98631286644241e-06,0.50218596872351,2.1197874243282e-07,0.0500381076226562
8565,2163,0.206200459360842,0.00560343411060738,2.10228830396569e-07,4.26107168935223e-07,0.771286460550477,1.03217651946117e-05,0.0168986878768793
4636,7076,0.232865965979619,0.307017594325824,3.44625766373666e-09,5.2527902419157e-05,0.438166549299891,2.82346626384062e-06,0.0218945355797247
5257,4799,0.221188106440164,0.067662742182728,2.35106654701624e-06,5.93305165287206e-06,0.64989073687391,3.14592553783553e-05,0.0612186711296201
4910,8754,0.116036590925633,0.394760727548893,9.89734625379489e-10,5.90981828094144e-05,0.481213330992068,1.34165646195268e-06,0.0079289097043996
4086,4918,0.152072174038805,0.0764053709400508,2.07728492166252e-08,1.77175684924594e-06,0.767007499643067,8.61631180859528e-06,0.00450454653657065
8769,7557,0.038548531151206,0.0889285778798172,2.57719620906062e-07,1.75049283305955e-06,0.828730485690129,7.45450393486141e-05,0.0437158520270454
6843,2522,0.169925843119254,0.0109630606309682,9.88982487959009e-09,1.58388137769296e-07,0.813900890322248,8.7092989235264e-07,0.00520916671967404
3809,6836,0.251184501241333,0.121501591045662,5.10005839253532e-09,2.53447162414116e-05,0.614175551742522,6.29185473357375e-07,0.0131123769687092
4707,2161,0.471451416043106,0.0184528348994097,3.35342401471288e-06,1.23512399726581e-05,0.499729217288288,4.43185735804079e-05,0.0103065085316284
4497,8514,0.0987618961799838,0.354505703690934,2.60048181798841e-10,3.96787025749734e-06,0.528151526534841,1.16900637282664e-06,0.0185757364575627
4499,4918,0.306099891671484,0.0335192081120599,5.76051768830345e-08,1.70070590799928e-05,0.635469519129883,6.35704408615786e-06,0.0248879593782297
10147,7318,0.0891801079073155,0.0366470693736063,3.01752857038475e-08,1.72024136328708e-06,0.821578166464967,1.25735229958979e-05,0.0525803323144667
10149,3482,0.41808317432381,0.0403210302549366,6.01962989845064e-07,1.48869899867051e-05,0.530448526199354,2.22127070597867e-06,0.0111295589982168
5944,9115,0.0958506663342412,0.396139849051463,7.79458165187686e-10,2.071293904514e-05,0.502838834342961,4.21394899417564e-06,0.00514572260383709
4016,5757,0.276159856479173,0.172131705355884,1.52356233592486e-07,6.84135843524005e-06,0.531732018448464,9.10095066632171e-06,0.0199603250511433
8703,2163,0.233203876990925,0.0677268756314168,1.19526172308793e-06,5.20208571514346e-05,0.688550793584839,0.000145653029478449,0.0103195846444656
4431,3120,0.211539091247566,0.0183568701066826,1.83328754308211e-10,6.28647243596139e-07,0.748347073021979,4.67523878314746e-07,0.0217558692693213
5051,3240,0.18343632581269,8.11504618970363e-05,1.09499234339075e-11,2.49783223098149e-11,0.815166849173314,2.47292118392455e-10,0.00131567426887932
5324,9474,0.161582189251789,0.380917363224843,1.36685348670093e-09,5.50043225034037e-05,0.452095914010335,4.6675682412953e-07,0.0053490610668519
10147,8277,0.110537263685988,0.00155542636363733,7.27319989666345e-08,2.62565127287451e-08,0.821277619893116,5.85849928178001e-07,0.0666290052188191
6425,10434,0.188338776976507,0.293913527454155,1.24752210591923e-07,1.13034528344866e-05,0.494307036757798,3.8628741077485e-05,0.0233906018654174
8977,6239,0.346023169746743,0.191124573152556,1.28677953126082e-06,0.000102480373899701,0.390718685095613,3.36622325785702e-06,0.0720264386283997
7187,2402,0.116070266003243,0.00468430475585498,6.55816540638152e-11,1.86493979561203e-08,0.878986745327634,1.10221545318957e-08,0.0002586541761336
7186,4320,0.443022105816755,0.0751324421110316,2.10990620519799e-05,9.97057905884754e-05,0.452068086969246,5.60871678862916e-05,0.02960047308244
8701,6958,0.0363580694404681,0.0220937606770388,9.98856086816054e-09,1.27892740996724e-07,0.9190537046636,3.62528873585522e-06,0.0224907020488557
6774,2881,0.337184793358777,0.0196037414780218,8.09651132581166e-08,3.61860630064703e-06,0.638950719743378,3.54411698170218e-06,0.00425350173142683
8011,8876,0.105352773056992,0.0907362771968924,2.26666008122364e-06,1.10230024727414e-05,0.784288548655701,2.50399544858276e-05,0.0195840714733749
7047,7916,0.251636701483101,0.0482151859180051,2.2671457052896e-07,2.33725944182761e-06,0.659967903403841,1.43613558042749e-06,0.0401762090854603
8702,3362,0.287067140153749,0.0567553263612877,2.08729308460106e-07,2.40631622577852e-05,0.627118580730114,9.63545921421764e-07,0.0290337173173622
7391,7797,0.26415692612278,0.0750182460633537,1.38940407562772e-07,1.49156752644314e-05,0.615704670962652,1.15240291860852e-06,0.0451039498326243
6016,3240,0.24626595430562,0.00211889392589097,2.88297905223238e-08,1.16963461324932e-08,0.731816594185467,3.29220479917075e-07,0.0197981878364061
7600,4320,0.458349320934548,0.193205740495,0.00207159860780099,0.000976682619742399,0.297442651106375,0.000195110383292812,0.0477588958532418
9529,3842,0.216983710890161,0.246381845072424,2.84538222313145e-07,9.26467337938276e-05,0.524019827485308,1.49607675092793e-05,0.0125067245125817
3880,2400,0.187070698517459,0.312010233663053,6.89988017702242e-09,1.39497340699641e-05,0.478407915109549,4.2561115957315e-07,0.0224967704648292
6012,9474,0.112844076166185,0.39212044575307,8.72237837790703e-10,1.1145708999702e-05,0.490165038367468,1.39383398638471e-06,0.00485789929805352
6842,4200,0.367405988298849,0.159712313076292,2.75488753339399e-06,9.34515591733047e-05,0.45502953357081,0.000100184266425946,0.0176557743409163
8838,7917,0.0706910228025584,0.0330591575422285,1.12445056888062e-08,9.67112795961448e-07,0.845134857314881,3.85618092492402e-06,0.0511101278021059
8700,7438,0.0240668794938032,0.0231960810645303,1.61048010564634e-07,7.41406653677478e-07,0.91117204946276,7.2020743859701e-06,0.0415568854498563
5049,7076,0.242853459669329,0.344025817664326,1.62536151086422e-07,9.65150023455098e-05,0.395132954110173,1.23886661787344e-05,0.0178787023514973
5256,7196,0.207574305460986,0.299288339288204,5.80777657508129e-09,1.20000735681244e-05,0.478343277109492,2.21263250209318e-06,0.014779859627471
5119,4319,0.233594983594354,0.0868046256163992,1.32532146732488e-07,6.01561561145232e-05,0.635922569736506,1.07821402549734e-05,0.0436067502242248
9870,10195,0.302093750380772,0.0385002617358586,3.90406293299343e-06,2.91501153472402e-05,0.61638818815194,7.93188780743889e-06,0.042976813665341
8083,2522,0.308320573896504,0.00651426277565813,4.42425874928204e-07,1.03515916579091e-06,0.677018739423876,4.09433094502447e-06,0.00814085198797699
7461,5759,0.271786180322671,0.113120454019693,2.13093190370234e-07,5.17162623410375e-05,0.577021914988007,1.20585837276057e-06,0.0380183154557244
10147,7079,0.142218482734195,0.0436224501411606,2.11371898084043e-06,1.53590022535772e-06,0.749140840770657,5.18054170807824e-05,0.0649627713177013
5672,1922,0.291727753332725,0.0159308934055246,2.45715331292915e-07,1.06772247506164e-06,0.68219421804778,2.10415847809066e-06,0.0101437176176861
6564,8036,0.164954616381843,0.159497906577715,1.51875772761278e-07,9.56643033235558e-06,0.670223170463164,1.27103952107639e-06,0.00531331723165196
5394,5997,0.180381396790734,0.295286733841531,2.04321480519592e-06,2.20757112016962e-05,0.508938548872111,3.66960432914798e-06,0.0153655319652879
8700,8636,0.166440422309222,0.0659766650634243,6.50397345591357e-07,1.48729133581066e-05,0.740067012376503,1.49798966119265e-05,0.0274853970435348
8703,2882,0.265092061514764,0.0421404850506778,1.98183446926102e-07,4.28503620634864e-05,0.655537494950167,1.49753783853454e-06,0.0371854124010425
8770,5639,0.389815086613209,0.121100441773416,3.37641802590313e-06,9.3402218376747e-05,0.474953781895897,1.82865180806089e-06,0.0140320824292665
5187,7796,0.243981277667159,0.413484377841736,3.10604967105283e-08,0.000114729301792881,0.328007779778691,2.31693583404915e-05,0.0143886349917842
10012,2523,0.250284693051241,0.176549201383407,8.72786352244963e-06,0.000422512673790234,0.527419031090024,0.000177448326265541,0.0451383856117489
6911,3361,0.387068056539965,0.0313923444898608,4.58363145755258e-08,6.90143206607329e-06,0.572702644372889,3.11874943662826e-06,0.00882688857946817
6911,3840,0.391796157510367,0.0602268682753368,3.67314080519608e-07,2.36570072448798e-05,0.533341383379275,8.11891323470715e-06,0.0146034476004616
8497,1803,0.345930576801423,0.0334693116043092,3.29709320543983e-07,1.60927584206226e-05,0.604105224073757,6.63755937232917e-06,0.0164718274933965
