"x","y","Astrocytes","Epithelial cells","Neutrophils","OPCs","Endothelial cells","Proliferation","Macrophages/Microglia cells","Mesenchymal cells"
6425,10434,0.104871674608241,9.87418097849101e-06,0.394583206467199,5.46476380261088e-07,5.55234742655921e-05,6.34210199641718e-10,0.335316169094631,0.165163005064094
8977,6239,0.0597230826353047,2.65317801146095e-05,0.393384438022321,4.14312572644343e-06,0.167208676766012,1.6461925654753e-07,0.293515317383979,0.0861376456672862
7187,2402,0.413541225052122,1.06428864761671e-14,0.365572668888772,4.02921044472719e-17,2.28788942802669e-15,2.64005684420635e-21,0.213549331936846,0.0073367741222473
7186,4320,0.0749786704976247,3.04976368943773e-06,0.355707888202115,3.05435234316269e-08,4.64804623440571e-05,6.49146699796967e-09,0.42160751679731,0.147656357241927
8701,6958,0.40981366835216,1.15958023931049e-11,0.48099620328989,6.10621138213161e-13,5.3698180690652e-11,2.06955646441018e-17,0.108931598918367,0.00025852937367817
6774,2881,0.115849536942748,5.01487725459731e-11,0.411791666896396,3.12198403363639e-13,5.58038253727447e-11,2.20542054674586e-16,0.383089217436625,0.0892695786179659
8011,8876,0.275151241685743,3.41019781713703e-09,0.461619041633793,1.67197810217183e-10,1.74775336933324e-09,7.51914705424263e-13,0.248605452506327,0.014624258848236
7047,7916,0.267820318296736,5.64791259609451e-08,0.466825937992514,1.91868241925922e-09,6.35936216241799e-06,3.47310620559973e-10,0.235216199764884,0.0301311258385855
8702,3362,0.136038809026529,3.5436210594914e-08,0.602087838585402,5.85162480199012e-10,3.0365899510549e-05,5.44733628505692e-12,0.210318481184623,0.0515244692771145
7391,7797,0.28340724408294,6.41349299876523e-07,0.466160266251156,1.93355071440084e-08,0.000631452971312492,2.47790121541541e-08,0.204122170226476,0.045678181004296
6016,3240,0.21338588795311,1.42226595486223e-12,0.402500379095858,2.01317892922953e-14,2.34134576644426e-13,7.13906559048133e-20,0.269190816391246,0.114922916558109
7600,4320,0.0706790245147729,0.00393381274872433,0.304230992960763,0.000467408037437117,0.294573630198933,5.21401509095211e-05,0.195887483387486,0.130175508000974
9529,3842,0.134803498986115,7.80487499059357e-06,0.590796445973484,8.79273821979701e-08,0.000544912603223919,4.21637015941374e-06,0.20956428107469,0.0642787521899547
3880,2400,0.0364387049106983,1.73310164724738e-10,0.430470238211002,2.73787290148387e-11,7.57556147747839e-07,2.52273232165743e-16,0.455598279167004,0.0774920199544588
6012,9474,0.141224807063535,0.000407304012072283,0.267171632214865,6.80933117009351e-06,0.00967259777398556,1.32728787074885e-07,0.444759222803106,0.136757494072479
6842,4200,0.0372869672671789,1.35272147276894e-08,0.277802851003184,1.76199085244999e-10,1.3389964361907e-08,6.24039715816792e-13,0.570647163791002,0.114262990844633
8838,7917,0.404523856790209,1.38833767920617e-10,0.350546423376718,8.00086865321877e-12,3.89766769708899e-11,1.91005616829078e-15,0.240923168063631,0.0040065515836284
8700,7438,0.408324800926137,3.54679255552919e-11,0.44626169991628,1.00709943980871e-12,2.75432004566970e-12,1.44903361056104e-16,0.145093544993988,0.000319954124365558
5049,7076,0.102011127044165,0.000879689593241045,0.438593725852839,1.25850628859757e-05,0.00309808057246039,1.84077501922851e-06,0.33853663004228,0.11686632105711
5256,7196,0.119351595937961,3.11566056267519e-07,0.423698477490741,8.93648079835943e-10,1.82833665779757e-06,4.61516796265348e-12,0.366415352434921,0.0905324333353997
5119,4319,0.348106329563283,0.00310067509889659,0.276439093508644,0.000259969036617251,0.000515619533898851,1.75359818955703e-06,0.284270596452404,0.0873059632080661
9870,10195,0.156758073416586,7.71477476613909e-07,0.472373677641108,1.77178386435018e-08,5.68614588151141e-05,6.08205344905526e-10,0.2871320044831,0.083678593196871
8083,2522,0.196311861736419,1.27598597220749e-09,0.521779040559399,1.0165325903726e-11,1.12309042677877e-08,5.4984785228249e-14,0.170293488909608,0.111615596277464
7461,5759,0.258833248257402,4.05804942692783e-06,0.463626324987332,2.48975362162498e-07,0.00142459892752627,4.16733592140873e-09,0.227216812369499,0.0488947042661155
10147,7079,0.308760640378923,5.57456767508516e-09,0.376207321969971,1.62717038944876e-09,4.23657656544808e-09,7.84614700368384e-13,0.186119340748139,0.128912685463868
5672,1922,0.136955566088695,8.33326749782257e-10,0.475592415426763,1.54283199660807e-11,1.03206535561197e-09,2.52725847482399e-14,0.271504150155169,0.115947866448528
6564,8036,0.278404234192027,7.54756126017472e-11,0.432281223750357,3.18940795448536e-12,4.72784128581195e-09,3.23126034462153e-16,0.249599344756682,0.0397151924944265
5394,5997,0.183614075486385,0.000216478756902132,0.418801184678364,2.49705019554995e-05,0.0544238945763963,2.54194566875139e-06,0.275314341426104,0.0676025126282255
8700,8636,0.27863331144538,2.72318226776307e-07,0.448162436973395,7.19430679531126e-09,4.91742234513471e-07,1.78471747208666e-09,0.217777218702064,0.055426259839675
8703,2882,0.307905044853666,8.45436639667212e-08,0.479054707716643,1.55311882563049e-09,5.82211521553162e-06,5.45275065925717e-11,0.167270706269696,0.0457636328934691
8770,5639,0.164066493570803,4.24176346492628e-06,0.44294815133264,2.30425913078325e-07,0.0179220401338568,4.39234554707183e-08,0.324871285068591,0.050187513781277
5187,7796,0.0577932980763146,0.00543020778711869,0.366419183800285,8.53504428266547e-05,0.119006705320549,2.58951171806383e-06,0.26784600965124,0.183416655409948
10012,2523,0.245146426187806,0.000107569731306748,0.392982739052532,3.61525444150618e-06,0.000818898952276455,8.50325597129816e-05,0.26372426014644,0.0971314581154841
6911,3361,0.0531340837521932,5.44441349981036e-08,0.391222915734796,1.50792108771724e-10,3.01036968379158e-08,3.64937918968101e-12,0.463579576539848,0.0920633392708899
6911,3840,0.0968006953959878,4.35006982747087e-07,0.331203477969705,1.69013941979586e-09,1.06802955165125e-06,3.82321860758527e-11,0.474536164722796,0.0974581571466051
8497,1803,0.282322880718154,2.19247535209248e-08,0.390937235499237,3.47508368280864e-10,1.46778128484279e-07,8.23724885572763e-12,0.204790100223585,0.121949614500397
3604,3599,0.210333430286616,4.25263676635636e-14,0.507259222053291,2.25738344131724e-15,7.86250909472772e-13,2.28735223133815e-21,0.271302740546278,0.0111046071129837
4223,4918,0.113340829375632,1.17854788425019e-13,0.506924740669269,5.38336188361444e-15,2.90717669154986e-11,7.34948679834248e-20,0.271882794108406,0.107851635817498
3742,3119,0.0287892577536986,1.9275878882029e-12,0.30605894396944,2.18188367762312e-13,1.65272102762081e-10,2.17476476979874e-15,0.388433620505533,0.276718177603908
