"gene","avg_log2FC","pct.1","pct.2","diff.pct","p_val","p_val_adj","cluster"
"ISG15",1.36028862074747,0.199,0.159,0.04,2.40211420741296e-07,0.00570213870555689,"0"
"GLCCI1",1.34939787669694,0.152,0.084,0.068,2.30117416722982e-18,5.46252723817015e-14,"0"
"PDE4B",1.34693896945175,0.207,0.155,0.052,5.05484331058159e-11,1.19991870506586e-06,"0"
"ETV1",1.33517680358684,0.462,0.346,0.116,1.55254776167098e-42,3.68543787665457e-38,"0"
"TRIO",1.32819789159579,0.272,0.18,0.092,1.55165583590578e-23,3.68332062327313e-19,"0"
"LHFPL3",1.31022407451809,0.182,0.132,0.05,2.51524489900668e-10,5.97068834126207e-06,"0"
"FAM111B",4.39996029654904,0.342,0.021,0.321,0,0,"1"
"CDC6",4.1349250371363,0.186,0.011,0.175,1.52409601099227e-198,3.61789911089344e-194,"1"
"TK1",4.11112302569446,0.149,0.011,0.138,4.41162052812276e-144,1.04723048096578e-139,"1"
"PCLAF",4.0966613473755,0.523,0.046,0.477,0,0,"1"
"MYBL2",3.93422121267267,0.103,0.008,0.095,5.3036887503172e-99,1.2589896355503e-94,"1"
"E2F7",3.87854633659451,0.105,0.01,0.095,2.39773074982124e-88,5.69173325392566e-84,"1"
"CLSPN",3.87816256408638,0.571,0.053,0.518,0,0,"1"
"RRM2",3.86927752786082,0.314,0.028,0.286,5.04135708399899e-291,1.19671734459968e-286,"1"
"ESCO2",3.60989784482698,0.384,0.04,0.344,0,0,"1"
"MCM10",3.56136028341234,0.212,0.019,0.193,2.25059632167057e-188,5.34246554838161e-184,"1"
"CDC45",3.53183918396466,0.16,0.012,0.148,6.41102112150067e-152,1.52184819382183e-147,"1"
"DTL",3.3948166982719,0.168,0.015,0.153,3.45704557909332e-149,8.20633479565172e-145,"1"
"CCNE2",3.37353766826227,0.293,0.031,0.262,1.87263797012699e-240,4.44526801348744e-236,"1"
"CDT1",3.36099999263095,0.142,0.012,0.13,2.36748698667273e-127,5.61994060896373e-123,"1"
"TYMS",3.33900011531062,0.492,0.069,0.423,0,0,"1"
"BRIP1",3.30377163850178,0.128,0.012,0.116,6.0366874046106e-110,1.43298885610646e-105,"1"
"CENPU",3.30295419714454,0.558,0.08,0.478,0,0,"1"
"CENPM",3.28212271833239,0.211,0.029,0.182,4.50100477997034e-145,1.06844851466936e-140,"1"
"ZWINT",3.27464542513315,0.224,0.029,0.195,1.35858655842393e-159,3.22501277238673e-155,"1"
"MCM3",3.27314760824328,0.43,0.063,0.367,8.30778381324196e-302,1.97210172158738e-297,"1"
"ATAD2",3.23916416709998,0.534,0.079,0.455,0,0,"1"
"PKMYT1",3.21664731756276,0.129,0.016,0.113,3.04417629401666e-94,7.22626568673674e-90,"1"
"MCM4",3.21476900886729,0.566,0.094,0.472,0,0,"1"
"DHFR",3.21435033643558,0.254,0.037,0.217,2.33941559215185e-169,5.55330473265005e-165,"1"
"PCNA",3.18452266564992,0.557,0.101,0.456,0,0,"1"
"XRCC2",3.17878540976646,0.329,0.042,0.287,9.38314547067225e-243,2.22737107182818e-238,"1"
"WDR76",3.16566709786569,0.243,0.029,0.214,1.24722872974081e-181,2.96067155865874e-177,"1"
"CDCA5",3.12237515664109,0.237,0.032,0.205,1.00639255305324e-165,2.38897464243778e-161,"1"
"HIST1H4C",3.08985222629787,0.937,0.668,0.269,0,0,"1"
"FANCD2",3.07277788566801,0.189,0.026,0.163,1.01661065195238e-128,2.41323036560456e-124,"1"
"TAC3",7.0080605746159,0.14,0.003,0.137,1.74095220089948e-195,4.1326723344952e-191,"2"
"NHLH1",5.6515623032983,0.324,0.011,0.313,0,0,"2"
"RP11-672L10.2",5.31499367510038,0.107,0.004,0.103,4.6525979047019e-134,1.10443369061814e-129,"2"
"ROBO3",4.95320260701924,0.355,0.048,0.307,2.52714125114975e-268,5.99892790197927e-264,"2"
"KLHL35",4.51272629338694,0.338,0.023,0.315,0,0,"2"
"CRABP1",4.3144244371841,0.357,0.039,0.318,1.98809319791548e-296,4.71933563321176e-292,"2"
"RP3-431P23.5",3.47811212914998,0.12,0.016,0.104,1.54124888981867e-79,3.65861661465157e-75,"2"
"SSTR2",3.16074096159095,0.103,0.02,0.083,1.51170980045824e-50,3.58849672432777e-46,"2"
"RND3",3.14679504050196,0.548,0.126,0.422,7.21306156024107e-295,1.71223655317002e-290,"2"
"MYT1L",2.85289426745,0.377,0.083,0.294,1.48345615934692e-183,3.52142823105773e-179,"2"
"ROBO2",2.77430127724209,0.285,0.088,0.197,6.51889322850686e-93,1.54745487458296e-88,"2"
"HRK",2.53631344906141,0.157,0.043,0.114,5.53922611195758e-53,1.31490149445649e-48,"2"
"THSD7A",2.48640851399465,0.58,0.23,0.35,1.32665926473694e-185,3.14922376263255e-181,"2"
"CTC-358I24.1",2.46861331710307,0.447,0.178,0.269,1.10424117691011e-124,2.62124770574923e-120,"2"
"ST8SIA3",2.33890029702249,0.156,0.05,0.106,4.76051297879251e-43,1.13005057090577e-38,"2"
"STMN2",2.30832147628412,0.793,0.285,0.508,0,0,"2"
"ONECUT2",2.29704401468264,0.244,0.086,0.158,9.59724241206073e-62,2.27819340377498e-57,"2"
"CACNA2D1",2.29507559082391,0.142,0.052,0.09,1.05776268148804e-32,2.51091705331631e-28,"2"
"NSG1",2.27379980911375,0.307,0.096,0.211,3.73597663358013e-96,8.8684613327925e-92,"2"
"AC013402.2",2.26499200134692,0.123,0.039,0.084,1.34855333483047e-33,3.20119590622058e-29,"2"
"RBP1",2.24864189424578,0.47,0.195,0.275,1.07724293926846e-115,2.55715928923547e-111,"2"
"MIAT",2.2126250234537,0.524,0.19,0.334,1.31563927870593e-163,3.12306451979215e-159,"2"
"DCC",2.12616617925879,0.136,0.047,0.089,3.50906371930194e-33,8.32981545687893e-29,"2"
"CBFA2T2",2.04155601501776,0.145,0.058,0.087,1.3763473838029e-28,3.26717341967132e-24,"2"
"STMN4",2.01766627732818,0.612,0.243,0.369,2.84140948741657e-179,6.74493784122946e-175,"2"
"IGSF3",1.97957111268853,0.128,0.045,0.083,1.69490183788128e-30,4.02335798276257e-26,"2"
"ELAVL4",1.97079132919004,0.58,0.227,0.353,1.97279756144794e-167,4.68302685136513e-163,"2"
"AC004540.4",1.92542853223596,0.119,0.046,0.073,1.24329948503495e-23,2.95134431757596e-19,"2"
"NPTXR",1.92429028064805,0.119,0.06,0.059,1.66206558433674e-14,3.94541128409856e-10,"2"
