"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diff.pct"
1.30236682304782e-56,2.20074700974164,0.168,0.045,3.09155836455091e-52,"3","SPRY1",0.123
2.68189122322401e-111,2.19489737984898,0.366,0.116,6.36627338568916e-107,"3","TNC",0.25
5.18294879391241e-40,2.17730186019185,0.155,0.051,1.23032838469893e-35,"3","CYTOR",0.104
3.95545508090779e-37,2.15948306412397,0.104,0.027,9.38945927105892e-33,"3","POSTN",0.077
1.17365882066343e-39,2.1192708586233,0.141,0.044,2.78603130849086e-35,"3","GNG11",0.097
1.60905761187439e-37,2.08573747155111,0.132,0.04,3.81958095906743e-33,"3","KCNIP1",0.092
1.33096695251672e-26,2.07880638858371,0.117,0.041,3.15944935188419e-22,"3","PTX3",0.076
2.34616918445468e-278,2.05695669267431,0.863,0.431,5.56933641005851e-274,"3","FABP7",0.432
7.32044610657453e-59,2.05204669420998,0.163,0.041,1.73772749677866e-54,"3","IGFBP3",0.122
1.65182924957438e-40,2.00320447293725,0.166,0.057,3.92111227263966e-36,"3","SYTL2",0.109
1.19721773564385e-40,1.96087512195306,0.142,0.043,2.84195546087138e-36,"3","TNFRSF19",0.099
1.3984475105452e-40,1.9558088872586,0.184,0.067,3.3196347005322e-36,"3","NEK6",0.117
3.0347009446443e-125,1.93809347767252,0.459,0.163,7.20377310239663e-121,"3","SLC1A3",0.296
7.21352118670056e-79,1.92973383470434,0.297,0.099,1.71234565929898e-74,"3","CCDC80",0.198
4.66548851964301e-49,1.91974365735169,0.204,0.07,1.10749366479286e-44,"3","ST8SIA5",0.134
2.20214987741997e-61,1.91401714607518,0.275,0.103,5.22746337901954e-57,"3","STK17A",0.172
1.07361416014494e-50,1.81442685635952,0.227,0.083,2.54854529335206e-46,"3","LAMA4",0.144
3.13887474457587e-232,1.78487033232052,0.756,0.286,7.45106086867419e-228,"3","VIM",0.47
2.77531574173585e-22,1.77459978088434,0.138,0.06,6.58804450773257e-18,"3","SPATA6",0.078
1.74706087207363e-163,1.76971287285212,0.643,0.271,4.14717309812838e-159,"3","NES",0.372
5.21208866568916e-51,1.76806169630874,0.267,0.109,1.23724560746129e-46,"3","WLS",0.158
1.62788387401638e-45,1.75883974471427,0.237,0.095,3.86427074014008e-41,"3","TAGLN2",0.142
6.46001324817826e-32,1.74981275392692,0.149,0.054,1.53347794485256e-27,"3","RGS3",0.095
2.07249396223318e-74,3.52253148374905,0.13,0.018,4.91968616754912e-70,"4","CA9",0.112
3.395251912408e-70,3.4799168180005,0.117,0.015,8.0596489896741e-66,"4","TRIB3",0.102
3.80494244231761e-59,3.39139804604616,0.173,0.041,9.03217236957355e-55,"4","RN7SK",0.132
9.29005015478575e-55,3.05647155835021,0.133,0.026,2.20527210574304e-50,"4","STC2",0.107
6.31900384298042e-59,2.9737539407422,0.365,0.159,1.50000513224669e-54,"4","RP11-386G11.5",0.206
9.95807247696579e-155,2.95568145129801,0.598,0.242,2.36384724458214e-150,"4","DDIT3",0.356
8.00043839763434e-35,2.93785552437648,0.105,0.025,1.89914406683044e-30,"4","HIST1H2BD",0.08
3.2813584180477e-112,2.91837393366885,0.242,0.043,7.78928861276164e-108,"4","ADM",0.199
2.96233071088358e-67,2.88367110332349,0.232,0.064,7.03198064149543e-63,"4","P4HA1",0.168
7.37122704573023e-107,2.65865658211895,0.322,0.082,1.74978187611544e-102,"4","SPTY2D1",0.24
2.37679691978814e-81,2.61810926086612,0.349,0.12,5.64204052819308e-77,"4","HILPDA",0.229
1.39753422856694e-37,2.55361314567451,0.133,0.036,3.31746675177221e-33,"4","ERO1A",0.097
1.03520848803354e-19,2.53226301090597,0.144,0.062,2.45737790889403e-15,"4","KLF10",0.082
3.20616517974339e-47,2.51416853361189,0.166,0.045,7.61079490367486e-43,"4","ATF5",0.121
6.96819971528624e-159,2.50408781884777,0.561,0.183,1.65411124841465e-154,"4","VEGFA",0.378
2.46310720434598e-26,2.46993306146785,0.107,0.032,5.84692388167649e-22,"4","PDK1",0.075
7.77755185280629e-46,2.4620750375753,0.222,0.077,1.84623525881916e-41,"4","NRN1",0.145
2.93133604805357e-48,2.46069369879166,0.186,0.054,6.95840551086957e-44,"4","INSIG2",0.132
3.30727310872607e-52,2.40701258433527,0.178,0.047,7.85080490549395e-48,"4","DNAJC25",0.131
1.98079834298678e-36,2.39300533312102,0.12,0.031,4.70201910658202e-32,"4","CTA-29F11.1",0.089
2.97214522628122e-37,2.38841624196628,0.12,0.03,7.05527833814637e-33,"4","MFSD2A",0.09
1.10283951167802e-78,2.34289064031645,0.279,0.078,2.61792043282128e-74,"4","HERPUD1",0.201
4.06763513876593e-48,2.3186942118346,0.188,0.055,9.65575229240257e-44,"4","CREBRF",0.133
4.34659440297556e-45,2.30733029926525,0.164,0.045,1.03179457937834e-40,"4","MXD1",0.119
5.83849642101732e-73,2.30177482573948,0.359,0.136,1.38594228042109e-68,"4","SLC3A2",0.223
2.5701801679066e-38,2.21782359704739,0.188,0.065,6.10109368257669e-34,"4","ATF3",0.123
2.9608355278354e-35,2.20514599348855,0.105,0.024,7.02843137597568e-31,"4","NDRG1",0.081
4.66301347097181e-60,2.17551407254659,0.284,0.098,1.10690613773929e-55,"4","DDIT4",0.186
3.72974724226347e-16,2.165704158974,0.113,0.047,8.85367400368503e-12,"4","BHLHE40",0.066
7.185488692665e-52,2.12502266877091,0.365,0.172,1.70569130586482e-47,"4","FAM162A",0.193
0,5.26522470028285,0.327,0.007,0,"5","KCNN3",0.32
8.17763193205676e-139,5.14789045714603,0.109,0.003,1.94120626803163e-134,"5","APLNR",0.106
0,4.97121980719532,0.929,0.09,0,"5","AQP4",0.839
4.59847396831792e-141,4.92266710023392,0.101,0.002,1.09158575059931e-136,"5","RP11-986E7.7",0.099
0,4.878076867457,0.629,0.031,0,"5","FAM107A",0.598
5.92657133105801e-140,4.60147854389355,0.104,0.002,1.40684950256655e-135,"5","MYBPC1",0.102
