"gene","avg_log2FC","pct.1","pct.2","diff.pct","p_val","p_val_adj","cluster"
"RP1-102K2.8",4.14096361650052,0.182,0.011,0.171,4.75920255983121e-50,1.14268453461547e-45,"9"
"FCMR",3.8498024983628,0.111,0.005,0.106,9.04936502083838e-44,2.17275254150329e-39,"9"
"CCL7",3.69482442745488,0.101,0.005,0.096,6.14996225441619e-34,1.47660593728533e-29,"9"
"RP3-510D11.2",3.67344443409964,0.152,0.005,0.147,1.28183362766101e-72,3.07768254001408e-68,"9"
"FHL2",3.64532684417983,0.293,0.016,0.277,5.64086383511715e-88,1.35437140681163e-83,"9"
"RP3-460G2.2",3.56506667864772,0.424,0.027,0.397,6.73118075581103e-112,1.61615649947023e-107,"9"
"RP11-480I12.5",3.55094080762844,0.162,0.009,0.153,7.73023832466196e-49,1.85603022175134e-44,"9"
"CHRNA9",3.54181406905779,0.192,0.011,0.181,4.15507653661073e-56,9.97633876440237e-52,"9"
"RP3-433F14.3",3.46489484158438,0.131,0.006,0.125,6.06121345762802e-48,1.45529735117649e-43,"9"
"RP11-365O16.6",3.44015025350399,0.101,0.003,0.098,7.96173589509513e-47,1.91161278841234e-42,"9"
"KBTBD12",3.36978722623128,0.101,0.007,0.094,2.46582957122274e-26,5.92045680050581e-22,"9"
"HSPB3",3.28455130833472,0.152,0.016,0.136,5.54888572601533e-25,1.33228746281628e-20,"9"
"GDF15",3.1876572259782,0.586,0.079,0.507,1.01674060729602e-73,2.44119419811774e-69,"9"
"ECM1",3.16870766614409,0.141,0.008,0.133,7.16512147743622e-42,1.72034566673244e-37,"9"
"NRGN",3.11552668031458,0.131,0.008,0.123,1.78175984471354e-36,4.27800538715721e-32,"9"
"LAMB3",3.08193649802884,0.182,0.014,0.168,4.33778702848158e-40,1.04150266553843e-35,"9"
"C1QTNF2",3.04828991375708,0.121,0.007,0.114,3.56578131188493e-35,8.56144092983571e-31,"9"
"PRRG4",2.87477590152148,0.253,0.02,0.233,1.59940057121649e-53,3.84016077149079e-49,"9"
"DTL",2.87382327690913,0.364,0.023,0.341,2.29754961130719e-95,5.51641661674856e-91,"9"
"TMEM35",2.81913781182688,0.253,0.025,0.228,3.78196971184642e-42,9.08050927814325e-38,"9"
"KIAA1324",2.80991126450643,0.121,0.008,0.113,1.64681748233051e-30,3.95400877507555e-26,"9"
"KRT7",2.79989590063805,0.202,0.018,0.184,4.21340657516947e-37,1.01163891869819e-32,"9"
"ARHGAP20",2.79980548408966,0.152,0.015,0.137,2.66700095427967e-25,6.40346929122549e-21,"9"
"ZWINT",2.77588058277593,0.414,0.034,0.38,1.14493704122981e-82,2.74899383599278e-78,"9"
"TCF7",2.75468921181027,0.192,0.011,0.181,9.00913387300533e-56,2.16309304290858e-51,"9"
"MAP3K7CL",2.74811937958996,0.343,0.028,0.315,1.39819277455192e-68,3.35706085169915e-64,"9"
"SLC2A12",2.72407897174956,0.253,0.02,0.233,3.32969842455462e-52,7.99460591735565e-48,"9"
"FOLH1",14.4547462076811,0.162,0,0.162,1.68874248129177e-305,4.05467069758154e-301,"10"
"TMEM235",13.7068403190716,0.108,0,0.108,2.51237202142674e-204,6.03220522344561e-200,"10"
"SPOCK3",12.6368118608906,0.378,0,0.378,0,0,"10"
"CNDP1",12.0257899470283,0.405,0,0.405,0,0,"10"
"NKX6-2",11.2515117819413,0.351,0,0.351,0,0,"10"
"MAG",11.1416056388363,0.649,0.001,0.648,0,0,"10"
"KLK6",11.1337335396188,0.297,0,0.297,0,0,"10"
"PPP1R16B",11.0782016198394,0.135,0,0.135,1.8825707491058e-159,4.52005236860302e-155,"10"
"CNTNAP4",11.0227273176063,0.432,0,0.432,0,0,"10"
"MOG",10.9280956355026,0.541,0,0.541,0,0,"10"
"CNTN2",10.8360975729307,0.568,0.001,0.567,0,0,"10"
"GRM3",10.7046077631145,0.135,0,0.135,3.61788978064459e-182,8.68655336332766e-178,"10"
"CLDN11",10.3947240704115,0.811,0.003,0.808,0,0,"10"
"MOBP",10.322471146033,0.703,0.003,0.7,0,0,"10"
"FA2H",10.3060790404222,0.216,0.001,0.215,3.25715849958949e-232,7.82043755751436e-228,"10"
"CARNS1",10.1890861609612,0.378,0.001,0.377,0,0,"10"
"SOX10",10.1541139273898,0.243,0,0.243,0,0,"10"
"PIEZO2",10.1116358029346,0.351,0.001,0.35,0,0,"10"
"HCN2",10.101300255497,0.162,0,0.162,2.33759769049395e-183,5.61257205487597e-179,"10"
"HAPLN2",10.0358432571671,0.351,0.001,0.35,0,0,"10"
"PLCH2",10.0342088524763,0.108,0,0.108,2.20836647273457e-136,5.30228790103571e-132,"10"
"EDIL3",9.84909475753869,0.459,0.002,0.457,0,0,"10"
"RP11-339B21.12",9.78259035602737,0.243,0.001,0.242,9.87245768114687e-294,2.37037708924336e-289,"10"
"PEX5L",9.76884234274451,0.405,0.001,0.404,0,0,"10"
