"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diff.pct"
9.55211788029897e-299,5.31579279019658,0.344,0.032,2.24713573134033e-294,"3","IGFBP3",0.312
3.21223298608418e-181,4.2862682765189,0.262,0.034,7.55677809976302e-177,"3","ANGPTL4",0.228
2.47824712494082e-181,3.99391679516149,0.297,0.047,5.83007636142329e-177,"3","NDRG1",0.25
1.22577885247847e-182,3.78772366041918,0.255,0.031,2.8836447504556e-178,"3","CA9",0.224
5.70521813912206e-132,3.30629283437751,0.314,0.077,1.34215256722846e-127,"3","SLC2A1",0.237
6.2368413680928e-47,3.02643893647561,0.202,0.073,1.46721693184383e-42,"3","SERPINE1",0.129
6.74473230856937e-48,2.92304771029666,0.488,0.357,1.58669827559094e-43,"3","AKAP12",0.131
3.81630611284628e-84,2.84895283855035,0.252,0.072,8.97786013047087e-80,"3","ERO1A",0.18
1.78712410339584e-242,2.76277768831553,0.651,0.221,4.20420945323872e-238,"3","VEGFA",0.43
2.64232679170883e-49,2.70930871275149,0.262,0.112,6.21607377749502e-45,"3","LOX",0.15
5.32841456802625e-43,2.5302203062116,0.107,0.024,1.25350952712818e-38,"3","TRIB3",0.083
5.54777753303469e-47,2.47522637212424,0.167,0.052,1.30511466464641e-42,"3","GBE1",0.115
8.6965817445756e-92,2.38744562449162,0.371,0.143,2.04587085541141e-87,"3","ENO2",0.228
1.9224417342038e-38,2.32975968864402,0.145,0.046,4.52254417971445e-34,"3","PMEPA1",0.099
1.07723883852998e-59,2.29971126463783,0.311,0.135,2.53420436764178e-55,"3","EGLN3",0.176
4.13261458932627e-78,2.24590117242387,0.394,0.174,9.72197582139006e-74,"3","ADM",0.22
2.08117778364146e-40,2.2409931929898,0.148,0.046,4.89597073601652e-36,"3","ARFGEF3",0.102
5.98825310234661e-48,2.20932274850876,0.17,0.052,1.40873654232704e-43,"3","BEX5",0.118
5.7047802051307e-21,2.18425322465023,0.144,0.066,1.342049543257e-16,"3","ATP13A3",0.078
3.65930125118889e-54,2.1770915022653,0.353,0.182,8.60850619342186e-50,"3","IGFBP2",0.171
7.88447106176309e-48,2.14368568817304,0.161,0.046,1.85482181727977e-43,"3","SLC38A1",0.115
3.69723007779442e-34,2.05973634268141,0.156,0.056,8.69773375801138e-30,"3","TMEM45A",0.1
9.58036820109772e-94,1.99519295908488,0.468,0.212,2.25378161930824e-89,"3","HILPDA",0.256
4.3907630925727e-13,1.98504472084003,0.1,0.048,1.03292701752773e-08,"3","MET",0.052
6.21952862379182e-25,1.93070760324091,0.182,0.086,1.46314410874703e-20,"3","JMJD6",0.096
2.30555858977728e-18,1.92082791338998,0.152,0.076,5.42382658245106e-14,"3","BIRC3",0.076
4.61272918510026e-29,1.91318392319019,0.195,0.089,1.08514454079484e-24,"3","ALKBH5",0.106
1.22043740235112e-13,1.90932713297386,0.112,0.056,2.871078989031e-09,"3","EPAS1",0.056
3.38349998605278e-16,1.89970867387971,0.112,0.05,7.95968371718916e-12,"3","ZNF395",0.062
5.38491747731974e-21,1.87410459253632,0.129,0.055,1.26680183653947e-16,"3","C11orf24",0.074
9.30638317683111e-134,4.54288650114554,0.159,0.013,2.18932664234952e-129,"4","FABP4",0.146
7.62814926589689e-147,4.1500718686358,0.163,0.012,1.79452211480224e-142,"4","GREM2",0.151
2.71779405295409e-146,3.83210670113353,0.218,0.026,6.39361050957449e-142,"4","PPY",0.192
1.18760688975822e-136,3.72270551072886,0.212,0.026,2.79384520815622e-132,"4","TMEM37",0.186
2.59899409516313e-71,3.69465960680427,0.1,0.01,6.11413360887126e-67,"4","SULT1C2",0.09
0,3.65365300593261,0.615,0.103,0,"4","DAPL1",0.512
2.58704383413379e-116,3.60570507722507,0.172,0.02,6.08602061979975e-112,"4","CTSK",0.152
0,3.42559838674007,0.574,0.091,0,"4","CRYGS",0.483
8.38185931600334e-77,3.3317320095432,0.11,0.012,1.97183240408979e-72,"4","HKDC1",0.098
1.61810951124436e-59,3.29051342264057,0.327,0.136,3.80660262520235e-55,"4","NMB",0.191
3.84318570224154e-71,3.23826645382581,0.146,0.025,9.04109436452322e-67,"4","PKD1L2",0.121
1.75073471256782e-60,3.21726629803557,0.103,0.014,4.11860341131579e-56,"4","TMEM140",0.089
