"gene","avg_log2FC","pct.1","pct.2","diff.pct","p_val","p_val_adj","cluster"
"ETV1",1.1840258633982,0.56,0.246,0.314,1.13349229017951e-289,2.84109842533495e-285,"3"
"EGFR",1.1835400176568,0.766,0.441,0.325,0,0,"3"
"MCM10",5.73561418237638,0.1,0.002,0.098,0,0,"4"
"FAM111B",5.24875084448736,0.236,0.006,0.23,0,0,"4"
"PCLAF",5.16271418510716,0.407,0.015,0.392,0,0,"4"
"RRM2",5.12668331254142,0.135,0.004,0.131,0,0,"4"
"TK1",4.82835870192626,0.105,0.004,0.101,0,0,"4"
"CLSPN",4.78445995086419,0.348,0.014,0.334,0,0,"4"
"CCNE2",4.58735701347985,0.145,0.005,0.14,0,0,"4"
"ESCO2",4.38433925191371,0.201,0.011,0.19,0,0,"4"
"CDCA5",4.18510952463956,0.151,0.008,0.143,0,0,"4"
"CENPU",4.09600401713,0.524,0.037,0.487,0,0,"4"
"XRCC2",3.95718412434962,0.236,0.015,0.221,0,0,"4"
"FANCI",3.8993423558561,0.178,0.012,0.166,0,0,"4"
"RAD51AP1",3.86083177980798,0.245,0.017,0.228,0,0,"4"
"BRCA2",3.84690190745937,0.113,0.008,0.105,0,0,"4"
"MELK",3.81763950026983,0.12,0.008,0.112,0,0,"4"
"SKA3",3.73421825058435,0.109,0.008,0.101,1.4997010683797e-289,3.75900072789371e-285,"4"
"ORC6",3.67861087092675,0.282,0.022,0.26,0,0,"4"
"HIST1H1D",3.61397284296724,0.176,0.019,0.157,0,0,"4"
"FANCD2",3.60274284759416,0.103,0.008,0.095,1.33521727146086e-264,3.34672209091665e-260,"4"
"ZWINT",3.5769306635866,0.135,0.01,0.125,0,0,"4"
"CHAF1A",3.51791778294821,0.26,0.021,0.239,0,0,"4"
"TYMS",3.50977117756442,0.345,0.031,0.314,0,0,"4"
"HELLS",3.50152892171738,0.232,0.018,0.214,0,0,"4"
"CENPM",3.46906895575106,0.109,0.01,0.099,9.15584678738099e-258,2.29491299725704e-253,"4"
"E2F7",3.46142199081297,0.107,0.009,0.098,2.38304436228298e-272,5.97310069406229e-268,"4"
"CENPK",3.45346207772947,0.273,0.024,0.249,0,0,"4"
"MND1",3.40509536090125,0.132,0.011,0.121,0,0,"4"
"AC006115.7",3.40044018211265,0.212,0.018,0.194,0,0,"4"
"NCAPH",3.39539319023632,0.163,0.015,0.148,0,0,"4"
"MCM2",3.38830628973053,0.161,0.012,0.149,0,0,"4"
"CA9",6.46409496823296,0.202,0.003,0.199,0,0,"5"
"STC2",6.14891271739018,0.219,0.004,0.215,0,0,"5"
"ANGPTL4",5.70008835545307,0.171,0.004,0.167,0,0,"5"
"NDRG1",5.38122639485455,0.219,0.007,0.212,0,0,"5"
"ADM",5.10753720841254,0.386,0.016,0.37,0,0,"5"
"HILPDA",4.93566603747889,0.519,0.042,0.477,0,0,"5"
"GPNMB",4.90145468525373,0.142,0.005,0.137,0,0,"5"
"ERO1A",4.84047827560189,0.269,0.013,0.256,0,0,"5"
"SLC2A1",4.61659040646928,0.243,0.014,0.229,0,0,"5"
"GDF15",4.53123500960098,0.183,0.013,0.17,0,0,"5"
"AKAP12",4.26846083649783,0.556,0.09,0.466,0,0,"5"
"VEGFA",4.1094372132234,0.753,0.098,0.655,0,0,"5"
"CAV1",3.94445954413279,0.216,0.019,0.197,0,0,"5"
"NRN1",3.78734610620319,0.388,0.048,0.34,0,0,"5"
"MIR210HG",3.69020759141326,0.114,0.011,0.103,2.06283873970532e-255,5.17050530107139e-251,"5"
"LOX",3.63180076364062,0.243,0.03,0.213,0,0,"5"
"TMEM45A",3.53673206329372,0.114,0.011,0.103,1.36410678314523e-252,3.41913365195351e-248,"5"
"EGLN3",3.44659666613673,0.16,0.018,0.142,0,0,"5"
"NOL3",3.44123395278369,0.15,0.017,0.133,1.20391492800998e-302,3.01761276705701e-298,"5"
"DDIT4",3.4101938839671,0.226,0.028,0.198,0,0,"5"
"CA12",3.36869553966792,0.309,0.044,0.265,0,0,"5"
"ENO2",3.35275588100738,0.58,0.103,0.477,0,0,"5"
"INSIG2",3.22561154996367,0.199,0.027,0.172,0,0,"5"
"P4HA1",3.20197064969693,0.321,0.049,0.272,0,0,"5"
"NDUFA4L2",3.12502796987334,0.113,0.01,0.103,2.33522688962202e-261,5.8532461988376e-257,"5"
"BNIP3",3.0809559413819,0.392,0.071,0.321,0,0,"5"
"RP11-798M19.6",3.07009645821019,0.164,0.025,0.139,3.38476905496737e-262,8.48392363627572e-258,"5"
"DDIT3",3.02059868192307,0.466,0.09,0.376,0,0,"5"
"PLOD2",2.93747051252944,0.454,0.094,0.36,0,0,"5"
"DNAJB9",2.93536105282902,0.155,0.026,0.129,1.04480905805651e-224,2.61881390401865e-220,"5"
"KIF20A",6.24670382037706,0.102,0.001,0.101,0,0,"6"
"NEK2",6.01325494426176,0.202,0.003,0.199,0,0,"6"
"DLGAP5",5.9880497987362,0.44,0.01,0.43,0,0,"6"
"CCNB2",5.96842499967897,0.334,0.007,0.327,0,0,"6"
"PLK1",5.95095253863995,0.191,0.003,0.188,0,0,"6"
"TROAP",5.86380557023484,0.211,0.004,0.207,0,0,"6"
"CCNB1",5.84991448103679,0.481,0.013,0.468,0,0,"6"
"CDC20",5.83402899819999,0.373,0.009,0.364,0,0,"6"
"PIF1",5.74272245552915,0.255,0.005,0.25,0,0,"6"
"CENPA",5.59463058702783,0.148,0.004,0.144,0,0,"6"
"CDCA8",5.49837151028609,0.319,0.009,0.31,0,0,"6"
"CENPE",5.47263877621886,0.581,0.023,0.558,0,0,"6"
"AURKA",5.46545215526543,0.361,0.011,0.35,0,0,"6"
"BUB1",5.33975649769489,0.294,0.008,0.286,0,0,"6"
"ASPM",5.33166255426284,0.477,0.019,0.458,0,0,"6"
"FAM64A",5.24968088417079,0.305,0.01,0.295,0,0,"6"
"TTK",5.21547130718776,0.324,0.011,0.313,0,0,"6"
"DEPDC1",5.17802400918858,0.139,0.004,0.135,0,0,"6"
"CDKN3",5.1286930011143,0.402,0.015,0.387,0,0,"6"
"TOP2A",5.06158986221228,0.732,0.055,0.677,0,0,"6"
"CENPF",5.00271948891835,0.889,0.087,0.802,0,0,"6"
"UBE2C",4.97838749035203,0.368,0.018,0.35,0,0,"6"
"PTTG1",4.96826581641231,0.786,0.055,0.731,0,0,"6"
"CDCA3",4.95099333632709,0.208,0.007,0.201,0,0,"6"
"CCNF",4.87025514041938,0.102,0.004,0.098,2.41656916435301e-304,6.05713061045081e-300,"6"
"CDCA2",4.86964630321856,0.2,0.007,0.193,0,0,"6"
"KIF2C",4.8419539786991,0.326,0.014,0.312,0,0,"6"
"KIF18A",4.83439082837342,0.2,0.007,0.193,0,0,"6"
"HMMR",4.79583533378422,0.275,0.011,0.264,0,0,"6"
"KIF14",4.78332150358103,0.292,0.012,0.28,0,0,"6"
"PAK3",5.4169754805215,0.101,0.004,0.097,3.65330865050317e-279,9.15701813248621e-275,"7"
"SSTR2",5.38780776378023,0.115,0.005,0.11,8.45457938523032e-289,2.11914032290798e-284,"7"
"HSD11B2",5.357121907423,0.108,0.004,0.104,1.41836831103226e-301,3.55514017160235e-297,"7"
"AKNAD1",4.35751273944161,0.207,0.014,0.193,0,0,"7"
"GADD45G",4.15321569124385,0.274,0.025,0.249,0,0,"7"
"DLL3",4.0102136997824,0.269,0.027,0.242,0,0,"7"
"ELAVL4",3.89345320022822,0.115,0.012,0.103,5.98419555778161e-158,1.49993861655796e-153,"7"
"GRIK2",3.87741037651491,0.139,0.014,0.125,1.07217919961958e-196,2.68741716384648e-192,"7"
"SEPT4",3.66016110083116,0.114,0.016,0.098,2.10057621207688e-113,5.2650942755707e-109,"7"
"HES6",3.55125719104619,0.59,0.099,0.491,0,0,"7"
"NNAT",3.54057352768946,0.236,0.046,0.19,1.67823038565124e-171,4.20648446163483e-167,"7"
"DCX",3.28975171965732,0.127,0.017,0.11,1.88750015412155e-136,4.73101913630568e-132,"7"
"SOX4",2.93667612477825,0.846,0.294,0.552,0,0,"7"
"ZBTB18",2.81668248073191,0.101,0.02,0.081,4.20303883708022e-68,1.05349168451416e-63,"7"
"RBP1",2.71800232086791,0.181,0.051,0.13,2.21534814911489e-78,5.55277013575647e-74,"7"
"NEDD4L",2.61547461716516,0.121,0.026,0.095,1.74377517980276e-74,4.37077248817561e-70,"7"
"PROX1",2.58475176260328,0.165,0.039,0.126,1.8877219786573e-91,4.73157513950453e-87,"7"
"RND3",2.57930056729794,0.138,0.033,0.105,6.14065944548317e-74,1.53915629001036e-69,"7"
"BEST3",2.53100389591431,0.142,0.034,0.108,6.05182018554003e-76,1.51688872950561e-71,"7"
"RP11-161M6.2",2.42261499261483,0.104,0.03,0.074,4.11719384298184e-42,1.0319746367434e-37,"7"
"SOX11",2.34789403025321,0.222,0.065,0.157,7.80255346167751e-91,1.95571002516947e-86,"7"
"NEUROD1",2.24784781847861,0.199,0.058,0.141,1.39434148576902e-80,3.49491693408006e-76,"7"
