"CellID","Interval","BaselineCellType","TargetCellType","Changed"
43438,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43439,"TF1→TF2","Astrocytes","Endothelial cells",TRUE
43440,"TF1→TF2","Neutrophils","Endothelial cells",TRUE
43441,"TF1→TF2","Neutrophils","Astrocytes",TRUE
43442,"TF1→TF2","Astrocytes","Astrocytes",FALSE
43443,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43444,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43445,"TF1→TF2","Neurons","Neurons",FALSE
43446,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
43447,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43448,"TF1→TF2","Neurons","Fibroblasts",TRUE
43449,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43450,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43451,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43452,"TF1→TF2","Endothelial cells","Fibroblasts",TRUE
43453,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43454,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
43455,"TF1→TF2","Fibroblasts","Neurons",TRUE
43456,"TF1→TF2","Fibroblasts","Neurons",TRUE
43457,"TF1→TF2","Fibroblasts","Neurons",TRUE
43458,"TF1→TF2","Astrocytes","Fibroblasts",TRUE
43459,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43460,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
43461,"TF1→TF2","Astrocytes","Neutrophils",TRUE
43462,"TF1→TF2","Neutrophils","Fibroblasts",TRUE
43463,"TF1→TF2","Astrocytes","Neutrophils",TRUE
43464,"TF1→TF2","Macrophages/Microglia cells","Neurons",TRUE
43465,"TF1→TF2","Macrophages/Microglia cells","Endothelial cells",TRUE
43466,"TF1→TF2","Macrophages/Microglia cells","Astrocytes",TRUE
43467,"TF1→TF2","Endothelial cells","Neutrophils",TRUE
43468,"TF1→TF2","Endothelial cells","Astrocytes",TRUE
43469,"TF1→TF2","Astrocytes","Neurons",TRUE
43470,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
43471,"TF1→TF2","Astrocytes","Neurons",TRUE
43472,"TF1→TF2","Endothelial cells","Neutrophils",TRUE
43473,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43474,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43475,"TF1→TF2","Neurons","Neutrophils",TRUE
43476,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
43477,"TF1→TF2","Endothelial cells","Neutrophils",TRUE
43478,"TF1→TF2","Neurons","Neutrophils",TRUE
43479,"TF1→TF2","Neutrophils","Astrocytes",TRUE
43480,"TF1→TF2","Astrocytes","Neutrophils",TRUE
43481,"TF1→TF2","Neutrophils","Endothelial cells",TRUE
43482,"TF1→TF2","Astrocytes","Fibroblasts",TRUE
43483,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
43484,"TF1→TF2","Endothelial cells","Neutrophils",TRUE
43485,"TF1→TF2","Astrocytes","Neurons",TRUE
43486,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43487,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43488,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43489,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43490,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43491,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43492,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43493,"TF1→TF2","Fibroblasts","Neutrophils",TRUE
43494,"TF1→TF2","Macrophages/Microglia cells","Endothelial cells",TRUE
43495,"TF1→TF2","Macrophages/Microglia cells","Neurons",TRUE
43496,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43497,"TF1→TF2","Astrocytes","Fibroblasts",TRUE
43498,"TF1→TF2","Neutrophils","Endothelial cells",TRUE
43499,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43500,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43501,"TF1→TF2","Endothelial cells","Astrocytes",TRUE
43502,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43503,"TF1→TF2","Astrocytes","Neurons",TRUE
43504,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43505,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43506,"TF1→TF2","Neutrophils","Endothelial cells",TRUE
43507,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43508,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43509,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43510,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43511,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43512,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43513,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43514,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43515,"TF1→TF2","Astrocytes","Endothelial cells",TRUE
43516,"TF1→TF2","Astrocytes","Endothelial cells",TRUE
43517,"TF1→TF2","Astrocytes","Endothelial cells",TRUE
43518,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43519,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43520,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43521,"TF1→TF2","Neurons","Neurons",FALSE
43522,"TF1→TF2","Astrocytes","Neurons",TRUE
43523,"TF1→TF2","Neurons","Astrocytes",TRUE
43524,"TF1→TF2","Neurons","Astrocytes",TRUE
43525,"TF1→TF2","Astrocytes","Neutrophils",TRUE
43526,"TF1→TF2","Neurons","Fibroblasts",TRUE
43527,"TF1→TF2","Neurons","Fibroblasts",TRUE
43528,"TF1→TF2","Neurons","Astrocytes",TRUE
43529,"TF1→TF2","Neurons","Neurons",FALSE
43530,"TF1→TF2","Neurons","Astrocytes",TRUE
43531,"TF1→TF2","Neurons","Neurons",FALSE
43532,"TF1→TF2","Neurons","Neurons",FALSE
43533,"TF1→TF2","Neurons","Neurons",FALSE
43534,"TF1→TF2","Neurons","Neurons",FALSE
43535,"TF1→TF2","Neurons","Neurons",FALSE
43536,"TF1→TF2","Neurons","Astrocytes",TRUE
43537,"TF1→TF2","Neurons","Neurons",FALSE
43538,"TF1→TF2","Neurons","Astrocytes",TRUE
43539,"TF1→TF2","Neurons","Astrocytes",TRUE
43540,"TF1→TF2","Astrocytes","Astrocytes",FALSE
43541,"TF1→TF2","Neutrophils","Astrocytes",TRUE
43542,"TF1→TF2","Astrocytes","Fibroblasts",TRUE
43543,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43544,"TF1→TF2","Endothelial cells","Neutrophils",TRUE
43545,"TF1→TF2","Astrocytes","Astrocytes",FALSE
43546,"TF1→TF2","Neurons","Neurons",FALSE
43547,"TF1→TF2","Macrophages/Microglia cells","Endothelial cells",TRUE
43548,"TF1→TF2","Macrophages/Microglia cells","Fibroblasts",TRUE
43549,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
43550,"TF1→TF2","Astrocytes","Neurons",TRUE
43551,"TF1→TF2","Neurons","Neurons",FALSE
43552,"TF1→TF2","Endothelial cells","Fibroblasts",TRUE
43553,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43554,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43555,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43556,"TF1→TF2","Fibroblasts","Neutrophils",TRUE
43557,"TF1→TF2","Macrophages/Microglia cells","Fibroblasts",TRUE
43558,"TF1→TF2","Neutrophils","Proliferation",TRUE
43559,"TF1→TF2","Astrocytes","Endothelial cells",TRUE
43560,"TF1→TF2","Fibroblasts","Neurons",TRUE
43561,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43562,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43563,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43564,"TF1→TF2","Astrocytes","Astrocytes",FALSE
43565,"TF1→TF2","Macrophages/Microglia cells","Endothelial cells",TRUE
43566,"TF1→TF2","Macrophages/Microglia cells","Endothelial cells",TRUE
43567,"TF1→TF2","Macrophages/Microglia cells","Endothelial cells",TRUE
43568,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43569,"TF1→TF2","Astrocytes","Endothelial cells",TRUE
43570,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43571,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43572,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43573,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43574,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43575,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43576,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43577,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43578,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43579,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43580,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43581,"TF1→TF2","Mesenchymal cells","Endothelial cells",TRUE
43582,"TF1→TF2","Mesenchymal cells","Endothelial cells",TRUE
43583,"TF1→TF2","Mesenchymal cells","Endothelial cells",TRUE
43584,"TF1→TF2","Mesenchymal cells","Endothelial cells",TRUE
43585,"TF1→TF2","Mesenchymal cells","Endothelial cells",TRUE
43586,"TF1→TF2","Mesenchymal cells","Endothelial cells",TRUE
43587,"TF1→TF2","Astrocytes","Astrocytes",FALSE
43588,"TF1→TF2","Astrocytes","Astrocytes",FALSE
43589,"TF1→TF2","Astrocytes","Endothelial cells",TRUE
43590,"TF1→TF2","Macrophages/Microglia cells","Astrocytes",TRUE
43591,"TF1→TF2","Macrophages/Microglia cells","Neutrophils",TRUE
43592,"TF1→TF2","Neutrophils","Proliferation",TRUE
43593,"TF1→TF2","Macrophages/Microglia cells","Neutrophils",TRUE
43594,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43595,"TF1→TF2","Mesenchymal cells","Endothelial cells",TRUE
43596,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43597,"TF1→TF2","Astrocytes","Astrocytes",FALSE
43598,"TF1→TF2","Fibroblasts","Neutrophils",TRUE
43599,"TF1→TF2","Fibroblasts","Neurons",TRUE
43600,"TF1→TF2","Neutrophils","Proliferation",TRUE
43601,"TF1→TF2","Mesenchymal cells","Neutrophils",TRUE
43602,"TF1→TF2","Mesenchymal cells","Neurons",TRUE
43603,"TF1→TF2","Astrocytes","Endothelial cells",TRUE
43604,"TF1→TF2","Mesenchymal cells","Endothelial cells",TRUE
43605,"TF1→TF2","Mesenchymal cells","Neurons",TRUE
43606,"TF1→TF2","Mesenchymal cells","Neurons",TRUE
43607,"TF1→TF2","Mesenchymal cells","Astrocytes",TRUE
43608,"TF1→TF2","Astrocytes","Neurons",TRUE
43609,"TF1→TF2","Macrophages/Microglia cells","Fibroblasts",TRUE
43610,"TF1→TF2","Macrophages/Microglia cells","Endothelial cells",TRUE
43611,"TF1→TF2","Macrophages/Microglia cells","Endothelial cells",TRUE
43612,"TF1→TF2","Astrocytes","Neurons",TRUE
43613,"TF1→TF2","Endothelial cells","Astrocytes",TRUE
43614,"TF1→TF2","Astrocytes","Neurons",TRUE
43615,"TF1→TF2","Endothelial cells","Astrocytes",TRUE
43616,"TF1→TF2","Neutrophils","Neurons",TRUE
