"Time","CellType","CentroidX","CentroidY","TotalAbundance","Dispersion","VarX","VarY","CovXY","MajorAxis","MinorAxis","Angle"
"TF1","Epi.epithelial.cells",13221.8728709037,12031.4983764377,120.27807263202,4891.72834922245,10631393.7044635,13297612.5381231,-748687.155235035,3673.34470477324,3230.40940478154,104.659494119575
"TF1","Epi.mesenchymal.cells",12751.2911949303,11265.4644219489,106.638989809589,4690.5830231922,7662416.84107346,14339152.2563854,689644.187929112,3796.00340406837,2755.34521498854,84.1639777835969
"TF1","Erythrocytes",12840.4027739557,11494.8472871962,67.248950790621,4707.67625919739,8475967.81792961,13686247.9434811,1266339.96599078,3738.67913929,2860.85547605058,77.0379723262895
"TF1","Fibroblast.cells",12980.782801538,11562.1460958497,101.545942057183,4632.77574060572,7989356.47357594,13473254.589169,368614.165985092,3673.95168445346,2822.17825146578,86.1716711429252
"TF1","Immature.myocardial.cells",12671.4376769431,10607.5126519238,445.958961713676,4722.65362535784,7979502.86187736,14323954.4032281,712268.03184082,3795.11987741889,2810.78679040683,83.6725549330508
"TF1","Macrophages",12835.5516094509,10867.0175674705,66.7073649788074,4688.52372075503,8036607.44661736,13945647.2334652,1025801.73883314,3757.48046375295,2804.21027110977,80.4265648884019
"TF1","Mural.cells",12824.8751944846,11011.4800293873,79.7026654447359,4644.36023650582,7701404.80076654,13868677.2056698,596237.349859831,3731.7276301643,2764.83107995854,84.5283011496432
"TF1","TMSB4X.high.cells",12836.3227924069,11385.0646233895,60.2708140828942,4682.8018552333,7558762.13181844,14369871.083558,443534.112901683,3794.55296847321,2744.08472624802,86.2898267719134
"TF1","Valve.cells",12724.4692231734,11794.5899954365,228.138905173092,4403.49454838404,6644489.1345094,12746275.1031386,190385.247454171,3571.02361349982,2576.53926604557,88.2145973771749
"TF1","Vascular.endothelial.cells",12646.5597488774,10330.1143778814,277.292334371356,4639.46728384482,7730782.94554775,13793873.7323187,825660.052569754,3728.84692304346,2760.49946610676,82.382337228069
"TF2","Cardiomyocytes",12711.1709768619,10660.2406660011,293.640313630217,4725.59604592378,7950673.92620178,14380584.0630487,665690.042471934,3801.15506357346,2807.57514092149,84.1508129643356
"TF2","Endocardial.cells",12904.6920259768,11234.7897663967,276.248623203524,4737.19069287862,7719724.19017241,14721251.4705234,781952.234189504,3848.05397352587,2762.87102079116,83.7043737000441
"TF2","Epi.epithelial.cells",12981.1242823386,11296.0553081404,276.356686742102,4878.95651527323,9583685.02761787,14220531.6503092,-28240.2170013993,3771.03482322061,3095.724961941,90.3489365427718
"TF2","Epi.mesenchymal.cells",12729.3793611052,11190.6399544115,54.6521944915032,4684.3007081094,7679184.91297542,14263488.2110188,884728.596825679,3792.13612611482,2749.97758627395,82.4789011980753
"TF2","Erythrocytes",12968.3635758472,11605.3129282133,174.24312757276,4687.91126203917,8134505.45199471,13842006.548759,964094.582400533,3741.71880358253,2824.19057353972,80.6666359627141
"TF2","Fibroblast.cells",12837.522100234,11362.2451801706,88.2134776248556,4644.27315230306,7452200.66591411,14117072.4472889,833422.230837407,3770.9029208249,2711.00798134518,82.979343752073
"TF2","Immature.myocardial.cells",12529.53712212,10305.5647935091,219.427357240562,4660.96589408723,8018550.38837626,13706052.6774681,590032.214347508,3710.33944070666,2820.98995045728,84.1391852214574
