"CellType","Interval","AWCD","NormalizedAWCD","Dispersion_T1","Dispersion_T2","DispersionChange","PercentDispersionChange","TotalAbundance_T1","TotalAbundance_T2"
"Erythrocytes","TF0→TF1",1633.54499518031,0.0891690068029921,4558.31311441793,4707.67625919739,149.363144779464,3.27671972131596,0.517942399613028,67.248950790621
"Erythrocytes","TF1→TF2",169.046220501979,0.00922759007583824,4707.67625919739,4687.91126203917,-19.7649971582205,-0.419846142130219,67.248950790621,174.24312757276
"Erythrocytes","TF2→TF3",292.561702270658,0.0159698303364994,4687.91126203917,4641.79050544875,-46.1207565904206,-0.983823157317162,174.24312757276,112.238965681562
"Fibroblast.cells","TF0→TF1",318.6207729972,0.0173922958711192,4628.62728135291,4632.77574060572,4.14845925281134,0.0896261245644902,1.42255936767973,101.545942057183
"Fibroblast.cells","TF1→TF2",245.934960157019,0.0134246538663077,4632.77574060572,4644.27315230306,11.4974116973408,0.248175442566049,101.545942057183,88.2134776248556
"Fibroblast.cells","TF2→TF3",456.350784194661,0.0249104532170618,4644.27315230306,4636.96038282824,-7.31276947482456,-0.15745778155185,88.2134776248556,124.699621078633
"Immature.myocardial.cells","TF0→TF1",1272.56932143562,0.069464718030523,4562.81528103622,4722.65362535784,159.838344321616,3.50306410574913,14.3997661331065,445.958961713676
"Immature.myocardial.cells","TF1→TF2",333.628950572809,0.0182115351894658,4722.65362535784,4660.96589408723,-61.6877312706038,-1.30620909692334,445.958961713676,219.427357240562
"Immature.myocardial.cells","TF2→TF3",539.803741150945,0.0294658326577997,4660.96589408723,4695.89387353645,34.9279794492213,0.749372131075448,219.427357240562,190.493280061807
"Macrophages","TF0→TF1",751.125087964049,0.0410010610519924,4478.12962115491,4688.52372075503,210.394099600118,4.69825836675664,77.6519762800473,66.7073649788074
"Macrophages","TF1→TF2",77.4863081305373,0.00422968278022118,4688.52372075503,4662.79886473935,-25.7248560156813,-0.548677100678903,66.7073649788074,173.556984428187
"Macrophages","TF2→TF3",726.258063826973,0.0396436648057969,4662.79886473935,4639.74926802977,-23.0495967095767,-0.494329637160216,173.556984428187,86.3988039669847
"Mural.cells","TF0→TF1",1671.41034730548,0.0912359323246089,3549.27721002579,4644.36023650582,1095.08302648002,30.8536910948149,8.14167773942588,79.7026654447359
"Mural.cells","TF1→TF2",1022.63647819991,0.0558218349360682,4644.36023650582,4568.90102085066,-75.4592156551607,-1.62474941246014,79.7026654447359,96.3571661414143
"Mural.cells","TF2→TF3",400.10999693742,0.0218404825971261,4568.90102085066,4565.23650201609,-3.66451883456921,-0.0802056953706328,96.3571661414143,76.1583836712334
"TMSB4X.high.cells","TF0→TF1",2540.73988923794,0.138689324834352,2941.07627777649,4682.8018552333,1741.72557745681,59.2206870191611,0.107537360922585,60.2708140828942
"TMSB4X.high.cells","TF1→TF2",644.009002433258,0.0351540014438481,4682.8018552333,4360.37054640869,-322.431308824617,-6.8854356599411,60.2708140828942,25.2253529292005
"TMSB4X.high.cells","TF2→TF3",252.503538514823,0.013783207570063,4360.37054640869,4281.89609431191,-78.474452096777,-1.79971980045161,25.2253529292005,34.3941662806902
"Valve.cells","TF0→TF1",1422.45712381112,0.0776465229450738,3713.92648515764,4403.49454838404,689.568063226397,18.567089735949,61.5048060410395,228.138905173092
"Valve.cells","TF1→TF2",99.4295133137606,0.00542747887278997,4403.49454838404,4336.67889113963,-66.8156572444123,-1.51733257553212,228.138905173092,194.655208544422
"Valve.cells","TF2→TF3",1157.08044690951,0.0631606197236672,4336.67889113963,3738.74945569093,-597.929435448697,-13.7877267480039,194.655208544422,90.046210117324
"Vascular.endothelial.cells","TF0→TF1",1948.69289614571,0.106371731801719,4620.77710745854,4639.46728384482,18.6901763862743,0.404481236632381,5.35010999547263,277.292334371356
"Vascular.endothelial.cells","TF1→TF2",437.391844914814,0.0238755568471362,4639.46728384482,4633.06511556755,-6.40216827726636,-0.137993607575583,277.292334371356,91.423507451253
"Vascular.endothelial.cells","TF2→TF3",462.466692589161,0.0252442973896097,4633.06511556755,4630.77521088245,-2.2899046850971,-0.0494252644410888,91.423507451253,158.570346284219
