"CellID","Interval","BaselineCellType","TargetCellType","Changed"
150,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
151,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
152,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
153,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
154,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
155,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
156,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
157,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
158,"TF0→TF1","Cardiomyocytes","Vascular endothelial cells",TRUE
159,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
160,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
161,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
162,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
163,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
164,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
165,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
166,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
167,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
168,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
169,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
170,"TF0→TF1","Endocardial cells","Cardiomyocytes",TRUE
171,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
172,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
173,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
174,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
175,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
176,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
177,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
178,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
179,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
180,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
181,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
182,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
183,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
184,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
185,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
186,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
187,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
188,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
189,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
190,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
191,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
192,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
193,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
194,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
195,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
196,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
197,"TF0→TF1","TMSB4X high cells","Cardiomyocytes",TRUE
198,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
199,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
200,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
201,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
202,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
203,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
204,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
205,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
206,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
207,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
208,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
209,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
210,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
211,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
212,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
213,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
214,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
215,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
216,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
217,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
218,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
219,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
220,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
221,"TF0→TF1","TMSB4X high cells","Fibroblast cells",TRUE
222,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
223,"TF0→TF1","TMSB4X high cells","Fibroblast cells",TRUE
224,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
225,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
226,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
227,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
228,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
229,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
230,"TF0→TF1","TMSB4X high cells","Valve cells",TRUE
231,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
232,"TF0→TF1","Cardiomyocytes","Fibroblast cells",TRUE
233,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
234,"TF0→TF1","Cardiomyocytes","Fibroblast cells",TRUE
235,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
236,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
237,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
238,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
239,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
240,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
241,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
242,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
243,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
244,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
245,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
246,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
247,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
248,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
249,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
250,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
251,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
252,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
253,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
254,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
255,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
256,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
257,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
258,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
259,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
260,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
261,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
